   6
  2     1.04287 0.000108 0
  5     1.00990 0.000174 0
  9     1.07675 0.000092 0
 10     1.09066 0.000071 0
 12     1.07450 0.000061 0
 14     1.06529 0.000166 0
   6
  2    -0.05161 0.000091 0
  5    -0.16382 0.000104 0
  9    -0.10718 0.000131 0
 10    -0.11017 0.000170 0
 12    -0.11619 0.000198 0
 14    -0.12702 0.000080 0
   0
   0
   0
   0
  12
   2   1     0.93493 0.000102 0
   2   4     0.20391 0.000383 0
   2   5     0.58568 0.000409 0
   2   6     0.29908 0.000243 0
   5   7     0.23054 0.000445 0
   9   6     0.15461 0.000232 0
  10   6     0.06709 0.000224 0
   9  11     0.02598 0.000392 0
   9  10     0.13091 0.000455 0
  12   4     0.17179 0.000148 0
  12  13     0.02488 0.000404 0
  12  14     0.05148 0.000408 0
  12
   2   1    -3.17917 0.000426 0
   2   4    -0.13200 0.000392 0
   2   5    -0.11567 0.000130 0
   2   6    -0.07575 0.000146 0
   5   7    -2.98234 0.000349 0
   9   6    -1.87028 0.000125 0
  10   6    -1.93579 0.000230 0
   9  11     1.46347 0.000355 0
   9  10     1.23472 0.000289 0
  12   4     2.40937 0.000385 0
  12  13    -1.68788 0.000325 0
  12  14    -0.37927 0.000298 0
   0
