  14
  1     1.04587 0.009498 0
  2     1.02100 0.011803 0
  3     1.01500 0.010928 0
  4     1.03435 0.010395 0
  5     0.99537 0.008624 0
  6     1.01835 0.008624 0
  7     1.01082 0.008232 0
  8     1.00883 0.011465 0
  9     1.06272 0.010404 0
 10     1.05995 0.010832 0
 11     1.08469 0.008082 0
 12     1.06881 0.011880 0
 13     1.06232 0.011330 0
 14     1.05380 0.008849 0
   0
   6
  1     1.91077 0.016818 0
  2     0.18583 0.018042 0
  5    -1.05017 0.019319 0
  8    -0.28911 0.021119 0
 11    -0.00506 0.017921 0
 13     0.00601 0.019561 0
   6
  1    -0.06209 0.016834 0
  2     0.17416 0.020248 0
  5     0.19239 0.017912 0
  8    -0.15328 0.016395 0
 11     0.03448 0.018664 0
 13    -0.01929 0.022852 0
  17
   1   2     1.28739 0.016997 0
   1   3     0.62805 0.020924 0
   2   4     0.26753 0.021075 0
   3   4     0.59478 0.015651 0
   2   5     0.79701 0.024656 0
   2   6     0.42435 0.018046 0
   4   6     0.57483 0.021842 0
   5   7    -0.25817 0.016220 0
   6   7     0.57239 0.015344 0
   6   8     0.34050 0.017588 0
   6   9     0.02371 0.018117 0
   6  10     0.00978 0.020467 0
   9  11     0.01586 0.024696 0
   9  10     0.08758 0.024395 0
   4  12     0.23561 0.020979 0
  12  13    -0.01638 0.015885 0
  12  14     0.06706 0.015452 0
  17
   1   2    -0.13204 0.020142 0
   1   3     0.03479 0.015465 0
   2   4    -0.00156 0.016705 0
   3   4     0.00347 0.024489 0
   2   5     0.00982 0.023084 0
   2   6     0.00172 0.015977 0
   4   6    -0.11937 0.019402 0
   5   7     0.16338 0.019952 0
   6   7    -0.04854 0.024093 0
   6   8     0.15955 0.021625 0
   6   9    -0.15710 0.020201 0
   6  10    -0.10896 0.016849 0
   9  11    -0.05618 0.022751 0
   9  10    -0.13890 0.023948 0
   4  12     0.09590 0.024219 0
  12  13    -0.03225 0.016960 0
  12  14     0.01839 0.018253 0
   0
   0
   0
