  20
  1     1.07242 0.010689 0
  2     1.02264 0.009952 0
  3     1.02097 0.011302 0
  4     0.97677 0.008126 0
  5     1.04673 0.011232 0
  6     1.02471 0.010262 0
  7     1.03566 0.009190 0
  8     1.02722 0.008187 0
  9     0.98509 0.011963 0
 10     0.98828 0.008027 0
 11     0.99793 0.011079 0
 12     1.04590 0.010987 0
 13     1.01740 0.009510 0
 14     1.05387 0.009977 0
 15     1.01727 0.011716 0
 16     0.99479 0.009582 0
 17     1.02003 0.011896 0
 18     1.02201 0.010098 0
 19     0.99313 0.008374 0
 20     1.00184 0.011253 0
   0
   7
  1     5.94642 0.017117 0
  2     1.16798 0.017923 0
  5     0.00916 0.023280 0
  6     2.94652 0.021448 0
  7    -0.49020 0.019117 0
 12     0.98178 0.016440 0
 14     0.87694 0.019767 0
   7
  1     4.60532 0.020543 0
  2     1.53403 0.023161 0
  5     0.18969 0.017216 0
  6     1.64888 0.015952 0
  7    -0.12584 0.015969 0
 12     0.94020 0.017122 0
 14     1.47909 0.015776 0
  25
   1   2     0.29380 0.017350 0
   1   3     2.50026 0.023986 0
   2   4     0.66355 0.016675 0
   1   5     0.61935 0.020421 0
   3   6    -1.12447 0.020249 0
   5   7     0.19822 0.023007 0
   1   8     2.08862 0.017526 0
   6   9    -0.01437 0.019662 0
   5  10     0.40781 0.020494 0
   6  11     1.47984 0.017037 0
   6  12     0.24532 0.024392 0
   9  13     0.38664 0.019328 0
   7  14    -0.39982 0.023513 0
  14  15    -0.16285 0.019100 0
  12  16     1.24504 0.024765 0
  14  17    -0.06905 0.021366 0
   7  18     0.06512 0.017931 0
   6  19     0.47309 0.018039 0
  18  20    -0.41769 0.024580 0
  17  18     0.88500 0.018126 0
   4  16     0.39685 0.023748 0
   2   3     0.37654 0.023266 0
   1   6     0.41641 0.016531 0
   2   8     0.34625 0.020463 0
  14  20     0.69989 0.022204 0
  25
   1   2     0.16233 0.015066 0
   1   3     3.53613 0.020522 0
   2   4     1.19224 0.024289 0
   1   5     0.57862 0.015418 0
   3   6     0.14125 0.021401 0
   5   7     0.00959 0.023349 0
   1   8     0.12040 0.024683 0
   6   9     2.14314 0.017641 0
   5  10     0.70306 0.018773 0
   6  11     0.20159 0.024155 0
   6  12    -0.70765 0.023375 0
   9  13    -0.60840 0.022161 0
   7  14    -0.06342 0.015790 0
  14  15     0.37369 0.021416 0
  12  16     0.17087 0.022053 0
  14  17     0.14310 0.017054 0
   7  18    -0.05911 0.016600 0
   6  19     0.30847 0.022185 0
  18  20     0.24950 0.015158 0
  17  18    -0.42037 0.015489 0
   4  16    -0.06198 0.021938 0
   2   3    -0.00117 0.024183 0
   1   6     0.21316 0.019700 0
   2   8     0.55228 0.020163 0
  14  20     0.95704 0.023225 0
   0
   0
   0
