   7
  2     1.02998 0.000097 0
  5     1.04216 0.000159 0
  8     1.02006 0.000183 0
 11     0.99015 0.000068 0
 14     1.04298 0.000164 0
 17     1.01877 0.000166 0
 20     1.00309 0.000128 0
   7
  2    -0.04119 0.000099 0
  5    -0.07753 0.000146 0
  8    -0.10952 0.000121 0
 11    -0.13303 0.000157 0
 14    -0.06705 0.000134 0
 17    -0.05196 0.000124 0
 20    -0.06112 0.000114 0
   0
   0
   0
   0
  15
   2   1     0.35274 0.000110 0
   2   4     1.29012 0.000113 0
   5   1     0.75689 0.000226 0
   5   7     0.17321 0.000463 0
   8   1     1.92386 0.000264 0
   5  10     0.78045 0.000192 0
  11   6     1.45390 0.000216 0
  14   7     0.36986 0.000472 0
  14  15     0.37223 0.000353 0
  14  17     0.15232 0.000421 0
  20  18     0.47434 0.000457 0
  17  18     0.95879 0.000423 0
   2   3     0.40713 0.000227 0
   2   8     0.61773 0.000191 0
  14  20     1.11643 0.000427 0
  15
   2   1     2.50376 0.000143 0
   2   4    -1.08555 0.000355 0
   5   1     2.33533 0.000303 0
   5   7    -0.08828 0.000200 0
   8   1    -3.18291 0.000402 0
   5  10    -1.14425 0.000131 0
  11   6    -3.27385 0.000164 0
  14   7    -0.11963 0.000423 0
  14  15    -2.11088 0.000449 0
  14  17    -1.97538 0.000175 0
  20  18     0.44291 0.000316 0
  17  18     0.37861 0.000458 0
   2   3    -0.04499 0.000144 0
   2   8    -1.06228 0.000271 0
  14  20    -0.98949 0.000444 0
   0
