t_sec,lambda,pf_converged,pf_max_mismatch,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,Vang_rad1,Vang_rad2,Vang_rad3,Vang_rad4,Vang_rad5,Vang_rad6,Vang_rad7,Vang_rad8,Vang_rad9,Vang_rad10,Vang_rad11,Vang_rad12,Vang_rad13,Vang_rad14,Vang_rad15,Vang_rad16,Vang_rad17,Vang_rad18,Vang_rad19,Vang_rad20
0.000,1.00000,1,4.441e-15,1.060000,1.030000,1.003350,0.962598,1.042000,1.025000,1.037000,1.010149,0.968879,0.962008,0.983080,1.047000,1.028012,1.043000,1.009463,0.989958,1.013633,1.025723,0.984277,0.996903,0.000000,-0.048347,-0.131323,-0.110688,-0.089278,-0.017657,-0.109317,-0.126119,-0.017689,-0.180214,-0.157408,-0.060108,-0.069116,-0.078211,-0.040051,-0.193467,-0.060724,-0.117303,-0.047818,-0.071854
1.000,1.01453,1,1.354e-09,1.060000,1.030000,1.001560,0.961147,1.042000,1.025000,1.037000,1.009016,0.966698,0.959090,0.982245,1.047000,1.026737,1.043000,1.008934,0.989237,1.013032,1.025560,0.983599,0.996227,0.000000,-0.049174,-0.133519,-0.112497,-0.090670,-0.018350,-0.111075,-0.128056,-0.018390,-0.183225,-0.160243,-0.061182,-0.070749,-0.079537,-0.040795,-0.196632,-0.061749,-0.119199,-0.048954,-0.073088
2.000,1.02618,1,5.272e-10,1.060000,1.030000,1.000149,0.959965,1.042000,1.025000,1.037000,1.008113,0.964995,0.956791,0.981571,1.047000,1.025743,1.043000,1.008514,0.988647,1.012558,1.025434,0.983040,0.995688,0.000000,-0.049840,-0.135258,-0.113968,-0.091801,-0.018928,-0.112524,-0.129595,-0.018976,-0.185630,-0.162543,-0.062081,-0.072068,-0.080650,-0.041447,-0.199222,-0.062633,-0.120774,-0.049896,-0.074130
3.000,1.04078,1,1.342e-09,1.060000,1.030000,0.998366,0.958471,1.042000,1.025000,1.037000,1.006981,0.962790,0.953807,0.980713,1.047000,1.024455,1.043000,1.007983,0.987904,1.011955,1.025269,0.982357,0.995007,0.000000,-0.050667,-0.137446,-0.115792,-0.093235,-0.019648,-0.114351,-0.131521,-0.019709,-0.188717,-0.165445,-0.063182,-0.073752,-0.082057,-0.042271,-0.202413,-0.063740,-0.122754,-0.051063,-0.075445
4.000,1.05823,1,3.050e-09,1.060000,1.030000,0.996177,0.956672,1.042000,1.025000,1.037000,1.005588,0.960113,0.950200,0.979684,1.047000,1.022877,1.043000,1.007339,0.987004,1.011220,1.025073,0.981535,0.994185,0.000000,-0.051666,-0.140114,-0.117982,-0.094979,-0.020489,-0.116585,-0.133883,-0.020561,-0.192457,-0.168884,-0.064476,-0.075755,-0.083783,-0.043291,-0.206237,-0.065103,-0.125186,-0.052440,-0.077064
5.000,1.06755,1,2.460e-10,1.060000,1.030000,0.995012,0.955737,1.042000,1.025000,1.037000,1.004851,0.958797,0.948279,0.979134,1.047000,1.022145,1.043000,1.006999,0.986532,1.010821,1.024962,0.981099,0.993749,0.000000,-0.052196,-0.141536,-0.119140,-0.095868,-0.020956,-0.117709,-0.135128,-0.021050,-0.194408,-0.170734,-0.065177,-0.076851,-0.084632,-0.043767,-0.208267,-0.065743,-0.126398,-0.053191,-0.077852
6.000,1.07639,1,2.202e-10,1.060000,1.030000,0.993880,0.954827,1.042000,1.025000,1.037000,1.004157,0.957479,0.946391,0.978600,1.047000,1.021389,1.043000,1.006677,0.986071,1.010453,1.024861,0.980682,0.993334,0.000000,-0.052709,-0.142917,-0.120271,-0.096760,-0.021415,-0.118848,-0.136302,-0.021523,-0.196345,-0.172531,-0.065874,-0.077915,-0.085515,-0.044297,-0.210265,-0.066448,-0.127635,-0.053922,-0.078679
7.000,1.09188,1,2.026e-09,1.060000,1.030000,0.991907,0.953231,1.042000,1.025000,1.037000,1.002912,0.955078,0.943209,0.977666,1.047000,1.019970,1.043000,1.006120,0.985266,1.009812,1.024688,0.979959,0.992612,0.000000,-0.053591,-0.145308,-0.122200,-0.098314,-0.022174,-0.120860,-0.138397,-0.022295,-0.199656,-0.175620,-0.067016,-0.079727,-0.087089,-0.045261,-0.213630,-0.067716,-0.129834,-0.055152,-0.080160
8.000,1.10267,1,4.776e-10,1.060000,1.030000,0.990537,0.952111,1.042000,1.025000,1.037000,1.002046,0.953417,0.940999,0.976991,1.047000,1.018989,1.043000,1.005720,0.984694,1.009361,1.024563,0.979460,0.992108,0.000000,-0.054224,-0.146984,-0.123594,-0.099356,-0.022751,-0.122197,-0.139855,-0.022883,-0.201917,-0.177872,-0.067890,-0.081041,-0.088110,-0.045844,-0.216097,-0.068520,-0.131287,-0.056054,-0.081114
9.000,1.10735,1,1.566e-11,1.060000,1.030000,0.989959,0.951592,1.042000,1.025000,1.037000,1.001634,0.952671,0.940082,0.976735,1.047000,1.018536,1.043000,1.005544,0.984436,1.009162,1.024507,0.979222,0.991897,0.000000,-0.054498,-0.147678,-0.124186,-0.099759,-0.022948,-0.122702,-0.140544,-0.023081,-0.202826,-0.178704,-0.068215,-0.081553,-0.088472,-0.046014,-0.217105,-0.068780,-0.131830,-0.056407,-0.081448
10.000,1.11534,1,1.305e-10,1.060000,1.030000,0.988968,0.950756,1.042000,1.025000,1.037000,1.000970,0.951436,0.938324,0.976230,1.047000,1.017785,1.043000,1.005238,0.984015,1.008830,1.024409,0.978850,0.991507,0.000000,-0.054943,-0.148877,-0.125163,-0.100600,-0.023336,-0.123790,-0.141654,-0.023471,-0.204636,-0.180339,-0.068785,-0.082466,-0.089345,-0.046551,-0.218800,-0.069495,-0.133014,-0.057037,-0.082262
11.000,1.11804,1,1.919e-12,1.060000,1.030000,0.988624,0.950494,1.042000,1.025000,1.037000,1.000748,0.951009,0.937726,0.976048,1.047000,1.017534,1.043000,1.005143,0.983879,1.008721,1.024381,0.978729,0.991388,0.000000,-0.055097,-0.149298,-0.125500,-0.100868,-0.023486,-0.124129,-0.142025,-0.023624,-0.205235,-0.180937,-0.068999,-0.082807,-0.089602,-0.046706,-0.219403,-0.069703,-0.133383,-0.057266,-0.082507
12.000,1.11984,1,6.004e-13,1.060000,1.030000,0.988363,0.950292,1.042000,1.025000,1.037000,1.000579,0.950732,0.937351,0.975962,1.047000,1.017371,1.043000,1.005078,0.983779,1.008660,1.024367,0.978660,0.991307,0.000000,-0.055198,-0.149591,-0.125710,-0.101075,-0.023524,-0.124410,-0.142305,-0.023665,-0.205648,-0.181189,-0.069075,-0.082971,-0.089836,-0.046868,-0.219740,-0.069923,-0.133696,-0.057349,-0.082733
13.000,1.12349,1,7.200e-12,1.060000,1.030000,0.987885,0.949873,1.042000,1.025000,1.037000,1.000281,0.950118,0.936566,0.975738,1.047000,1.016993,1.043000,1.004945,0.983568,1.008504,1.024325,0.978487,0.991137,0.000000,-0.055419,-0.150170,-0.126200,-0.101442,-0.023712,-0.124881,-0.142804,-0.023851,-0.206448,-0.181927,-0.069371,-0.083414,-0.090200,-0.047086,-0.220593,-0.070211,-0.134211,-0.057649,-0.083076
14.000,1.11719,1,6.724e-11,1.060000,1.030000,0.988724,0.950525,1.042000,1.025000,1.037000,1.000810,0.951083,0.937959,0.976127,1.047000,1.017547,1.043000,1.005168,0.983904,1.008762,1.024394,0.978793,0.991426,0.000000,-0.055049,-0.149160,-0.125392,-0.100793,-0.023391,-0.124048,-0.141920,-0.023518,-0.205031,-0.180649,-0.068887,-0.082641,-0.089553,-0.046683,-0.219170,-0.069681,-0.133304,-0.057130,-0.082464
15.000,1.11116,1,4.657e-11,1.060000,1.030000,0.989486,0.951191,1.042000,1.025000,1.037000,1.001281,0.952004,0.939145,0.976509,1.047000,1.018079,1.043000,1.005393,0.984239,1.009024,1.024471,0.979059,0.991711,0.000000,-0.054690,-0.148222,-0.124597,-0.100253,-0.023050,-0.123363,-0.141129,-0.023166,-0.203837,-0.179366,-0.068377,-0.081873,-0.089044,-0.046420,-0.217775,-0.069309,-0.132565,-0.056615,-0.081997
16.000,1.10914,1,6.510e-13,1.060000,1.030000,0.989732,0.951418,1.042000,1.025000,1.037000,1.001442,0.952348,0.939582,0.976636,1.047000,1.018306,1.043000,1.005468,0.984357,1.009092,1.024483,0.979143,0.991796,0.000000,-0.054565,-0.147920,-0.124311,-0.100011,-0.022945,-0.123034,-0.140859,-0.023067,-0.203354,-0.178946,-0.068189,-0.081645,-0.088767,-0.046226,-0.217252,-0.069047,-0.132193,-0.056455,-0.081725
