  20
  1     1.05688 0.009498 0
  2     1.03600 0.011803 0
  3     0.98899 0.010928 0
  4     0.95616 0.010395 0
  5     1.02826 0.008624 0
  6     1.01799 0.008624 0
  7     1.02816 0.008232 0
  8     1.01174 0.011465 0
  9     0.93492 0.010404 0
 10     0.93860 0.010832 0
 11     0.96981 0.008082 0
 12     1.03476 0.011880 0
 13     1.01513 0.011330 0
 14     1.05853 0.008849 0
 15     0.99562 0.008727 0
 16     0.98391 0.008734 0
 17     1.00792 0.009217 0
 18     1.01775 0.010099 0
 19     0.98947 0.009728 0
 20     0.99828 0.009165 0
   0
   7
  1     7.48806 0.021119 0
  2     1.43977 0.017921 0
  5     0.01434 0.019561 0
  6     3.68976 0.016997 0
  7    -0.66077 0.020924 0
 12     1.25216 0.021075 0
 14     1.09248 0.015651 0
   7
  1     5.35927 0.016395 0
  2     2.06652 0.018664 0
  5     0.48488 0.022852 0
  6     2.86131 0.020142 0
  7    -0.06013 0.015465 0
 12     1.15319 0.016705 0
 14     1.82201 0.024489 0
  25
   1   2     0.39843 0.024656 0
   1   3     3.18085 0.018046 0
   2   4     0.81970 0.021842 0
   1   5     0.75806 0.016220 0
   3   6    -1.36246 0.015344 0
   5   7     0.23432 0.017588 0
   1   8     2.65903 0.018117 0
   6   9     0.02552 0.020467 0
   5  10     0.51763 0.024696 0
   6  11     1.89278 0.024395 0
   6  12     0.38204 0.020979 0
   9  13     0.49752 0.015885 0
   7  14    -0.49243 0.015452 0
  14  15    -0.23041 0.018887 0
  12  16     1.55292 0.023287 0
  14  17    -0.05669 0.017809 0
   7  18     0.10878 0.016409 0
   6  19     0.54543 0.015746 0
  18  20    -0.52895 0.022722 0
  17  18     1.14547 0.015055 0
   4  16     0.50410 0.022069 0
   2   3     0.55156 0.022713 0
   1   6     0.51703 0.018585 0
   2   8     0.42825 0.023631 0
  14  20     0.85798 0.018309 0
  25
   1   2     0.17741 0.023084 0
   1   3     4.18288 0.015977 0
   2   4     1.48707 0.019402 0
   1   5     0.64444 0.019952 0
   3   6    -0.06735 0.024093 0
   5   7     0.05935 0.021625 0
   1   8     0.20308 0.020201 0
   6   9     2.78681 0.016849 0
   5  10     0.95360 0.022751 0
   6  11     0.29700 0.023948 0
   6  12    -0.77900 0.024219 0
   9  13    -0.77189 0.016960 0
   7  14    -0.05598 0.018253 0
  14  15     0.45956 0.017713 0
  12  16     0.37762 0.018568 0
  14  17    -4.92190 0.020427 0
   7  18    -0.04295 0.023022 0
   6  19     0.47218 0.024869 0
  18  20     0.33193 0.016987 0
  17  18    -0.49118 0.023155 0
   4  16    -0.07706 0.022290 0
   2   3     0.15099 0.015740 0
   1   6     0.11281 0.016159 0
   2   8     0.62803 0.021233 0
  14  20     1.20490 0.015636 0
   0
   0
   0
