channel_id,group,type,loc1,loc2,sigma
0,scada,Vmag,1,,9.498160e-03
1,scada,Vmag,2,,1.180286e-02
2,scada,Vmag,3,,1.092798e-02
3,scada,Vmag,4,,1.039463e-02
4,scada,Vmag,5,,8.624075e-03
5,scada,Vmag,6,,8.623978e-03
6,scada,Vmag,7,,8.232334e-03
7,scada,Vmag,8,,1.146470e-02
8,scada,Vmag,9,,1.040446e-02
9,scada,Vmag,10,,1.083229e-02
10,scada,Vmag,11,,8.082338e-03
11,scada,Vmag,12,,1.187964e-02
12,scada,Vmag,13,,1.132977e-02
13,scada,Vmag,14,,8.849356e-03
14,scada,Vmag,15,,8.727300e-03
15,scada,Vmag,16,,8.733618e-03
16,scada,Vmag,17,,9.216969e-03
17,scada,Vmag,18,,1.009903e-02
18,scada,Vmag,19,,9.727780e-03
19,scada,Vmag,20,,9.164917e-03
20,scada,Pinj,1,,2.111853e-02
21,scada,Qinj,1,,1.639494e-02
22,scada,Pinj,2,,1.792145e-02
23,scada,Qinj,2,,1.866362e-02
24,scada,Pinj,5,,1.956070e-02
25,scada,Qinj,5,,2.285176e-02
26,scada,Pinj,6,,1.699674e-02
27,scada,Qinj,6,,2.014234e-02
28,scada,Pinj,7,,2.092415e-02
29,scada,Qinj,7,,1.546450e-02
30,scada,Pinj,12,,2.107545e-02
31,scada,Qinj,12,,1.670524e-02
32,scada,Pinj,14,,1.565052e-02
33,scada,Qinj,14,,2.448886e-02
34,scada,Pflow,1,2,2.465632e-02
35,scada,Qflow,1,2,2.308397e-02
36,scada,Pflow,1,3,1.804614e-02
37,scada,Qflow,1,3,1.597672e-02
38,scada,Pflow,2,4,2.184233e-02
39,scada,Qflow,2,4,1.940152e-02
40,scada,Pflow,1,5,1.622038e-02
41,scada,Qflow,1,5,1.995177e-02
42,scada,Pflow,3,6,1.534389e-02
43,scada,Qflow,3,6,2.409320e-02
44,scada,Pflow,5,7,1.758780e-02
45,scada,Qflow,5,7,2.162522e-02
46,scada,Pflow,1,8,1.811711e-02
47,scada,Qflow,1,8,2.020068e-02
48,scada,Pflow,6,9,2.046710e-02
49,scada,Qflow,6,9,1.684854e-02
50,scada,Pflow,5,10,2.469585e-02
51,scada,Qflow,5,10,2.275133e-02
52,scada,Pflow,6,11,2.439499e-02
53,scada,Qflow,6,11,2.394827e-02
54,scada,Pflow,6,12,2.097900e-02
55,scada,Qflow,6,12,2.421874e-02
56,scada,Pflow,9,13,1.588493e-02
57,scada,Qflow,9,13,1.695983e-02
58,scada,Pflow,7,14,1.545227e-02
59,scada,Qflow,7,14,1.825330e-02
60,scada,Pflow,14,15,1.888677e-02
61,scada,Qflow,14,15,1.771349e-02
62,scada,Pflow,12,16,2.328738e-02
63,scada,Qflow,12,16,1.856753e-02
64,scada,Pflow,14,17,1.780935e-02
65,scada,Qflow,14,17,2.042696e-02
66,scada,Pflow,7,18,1.640924e-02
67,scada,Qflow,7,18,2.302197e-02
68,scada,Pflow,6,19,1.574551e-02
69,scada,Qflow,6,19,2.486887e-02
70,scada,Pflow,18,20,2.272245e-02
71,scada,Qflow,18,20,1.698716e-02
72,scada,Pflow,17,18,1.505522e-02
73,scada,Qflow,17,18,2.315461e-02
74,scada,Pflow,4,16,2.206857e-02
75,scada,Qflow,4,16,2.229007e-02
76,scada,Pflow,2,3,2.271270e-02
77,scada,Qflow,2,3,1.574045e-02
78,scada,Pflow,1,6,1.858466e-02
79,scada,Qflow,1,6,1.615869e-02
80,scada,Pflow,2,8,2.363103e-02
81,scada,Qflow,2,8,2.123298e-02
82,scada,Pflow,14,20,1.830898e-02
83,scada,Qflow,14,20,1.563558e-02
84,pmu,Vmag,2,,9.664735e-05
85,pmu,Vang,2,,9.877750e-05
86,pmu,Vmag,5,,1.594409e-04
87,pmu,Vang,5,,1.456336e-04
88,pmu,Vmag,8,,1.830819e-04
89,pmu,Vang,8,,1.208322e-04
90,pmu,Vmag,11,,6.793914e-05
91,pmu,Vang,11,,1.569867e-04
92,pmu,Vmag,14,,1.641178e-04
93,pmu,Vang,14,,1.341916e-04
94,pmu,Vmag,17,,1.656451e-04
95,pmu,Vang,17,,1.240693e-04
96,pmu,Vmag,20,,1.284099e-04
97,pmu,Vang,20,,1.141312e-04
98,pmu,Imag,2,1,1.101677e-04
99,pmu,Iang,2,1,1.431566e-04
100,pmu,Imag,2,4,1.125717e-04
101,pmu,Iang,2,4,3.545642e-04
102,pmu,Imag,5,1,2.257424e-04
103,pmu,Iang,5,1,3.034283e-04
104,pmu,Imag,5,7,4.630266e-04
105,pmu,Iang,5,7,1.997169e-04
106,pmu,Imag,8,1,2.641532e-04
107,pmu,Iang,8,1,4.022205e-04
108,pmu,Imag,5,10,1.915193e-04
109,pmu,Iang,5,10,1.307920e-04
110,pmu,Imag,11,6,2.159006e-04
111,pmu,Iang,11,6,1.644885e-04
112,pmu,Imag,14,7,4.718791e-04
113,pmu,Iang,14,7,4.232482e-04
114,pmu,Imag,14,15,3.533615e-04
115,pmu,Iang,14,15,4.485842e-04
116,pmu,Imag,14,17,4.214688e-04
117,pmu,Iang,14,17,1.746280e-04
118,pmu,Imag,20,18,4.570236e-04
119,pmu,Iang,20,18,3.157369e-04
120,pmu,Imag,17,18,4.229761e-04
121,pmu,Iang,17,18,4.584365e-04
122,pmu,Imag,2,3,2.272014e-04
123,pmu,Iang,2,3,1.440208e-04
124,pmu,Imag,2,8,1.911741e-04
125,pmu,Iang,2,8,2.708431e-04
126,pmu,Imag,14,20,4.272059e-04
127,pmu,Iang,14,20,4.442922e-04
