   7
  2     1.03012 0.000085 0
  5     1.04186 0.000142 0
  8     1.00799 0.000174 0
 11     0.98119 0.000154 0
 14     1.04300 0.000066 0
 17     1.01224 0.000074 0
 20     0.99551 0.000132 0
   7
  2    -0.05018 0.000066 0
  5    -0.09245 0.000087 0
  8    -0.13065 0.000120 0
 11    -0.16390 0.000103 0
 14    -0.08124 0.000095 0
 17    -0.06303 0.000085 0
 20    -0.07463 0.000103 0
   0
   0
   0
   0
  15
   2   1     0.40218 0.000398 0
   2   4     1.52039 0.000408 0
   5   1     0.83665 0.000311 0
   5   7     0.21265 0.000498 0
   8   1     2.30664 0.000266 0
   5  10     0.95265 0.000303 0
  11   6     1.73497 0.000290 0
  14   7     0.43258 0.000233 0
  14  15     0.44479 0.000390 0
  14  17     0.19206 0.000346 0
  20  18     0.56605 0.000153 0
  17  18     1.13909 0.000439 0
   2   3     0.50723 0.000307 0
   2   8     0.69674 0.000411 0
  14  20     1.32041 0.000376 0
  15
   2   1     2.59122 0.000359 0
   2   4    -1.09588 0.000416 0
   5   1     2.41608 0.000203 0
   5   7    -0.06930 0.000143 0
   8   1    -3.22238 0.000162 0
   5  10    -1.17591 0.000423 0
  11   6     2.97603 0.000274 0
  14   7    -0.11424 0.000131 0
  14  15    -2.11684 0.000401 0
  14  17    -1.96529 0.000461 0
  20  18     0.45035 0.000180 0
  17  18     0.36347 0.000364 0
   2   3    -0.24132 0.000409 0
   2   8    -1.05190 0.000322 0
  14  20    -1.00191 0.000200 0
   0
