  20
  1     1.07557 0.010689 0
  2     1.03100 0.009952 0
  3     1.01161 0.011302 0
  4     0.98444 0.008126 0
  5     1.02829 0.011232 0
  6     1.01618 0.010262 0
  7     1.03249 0.009190 0
  8     1.03132 0.008187 0
  9     0.98732 0.011963 0
 10     0.97336 0.008027 0
 11     0.99035 0.011079 0
 12     1.03433 0.010987 0
 13     1.03275 0.009510 0
 14     1.05353 0.009977 0
 15     1.00159 0.011716 0
 16     0.99382 0.009582 0
 17     1.02077 0.011896 0
 18     1.02076 0.010098 0
 19     0.98947 0.008374 0
 20     1.01053 0.011253 0
   0
   7
  1     5.83040 0.017117 0
  2     1.11916 0.017923 0
  5    -0.02014 0.023280 0
  6     2.90286 0.021448 0
  7    -0.51417 0.019117 0
 12     0.91597 0.016440 0
 14     0.86831 0.019767 0
   7
  1     4.51802 0.020543 0
  2     1.50172 0.023161 0
  5     0.17970 0.017216 0
  6     1.58887 0.015952 0
  7    -0.14894 0.015969 0
 12     0.93472 0.017122 0
 14     1.43003 0.015776 0
  25
   1   2     0.34544 0.017350 0
   1   3     2.47952 0.023986 0
   2   4     0.69961 0.016675 0
   1   5     0.56565 0.020421 0
   3   6    -1.05304 0.020249 0
   5   7     0.17547 0.023007 0
   1   8     2.06109 0.017526 0
   6   9     0.00738 0.019662 0
   5  10     0.36481 0.020494 0
   6  11     1.49474 0.017037 0
   6  12     0.28204 0.024392 0
   9  13     0.37896 0.019328 0
   7  14    -0.41617 0.023513 0
  14  15    -0.16425 0.019100 0
  12  16     1.21444 0.024765 0
  14  17    -0.06032 0.021366 0
   7  18     0.08382 0.017931 0
   6  19     0.43558 0.018039 0
  18  20    -0.37688 0.024580 0
  17  18     0.87967 0.018126 0
   4  16     0.43268 0.023748 0
   2   3     0.39372 0.023266 0
   1   6     0.41608 0.016531 0
   2   8     0.33329 0.020463 0
  14  20     0.68861 0.022204 0
  25
   1   2     0.16704 0.015066 0
   1   3     3.45535 0.020522 0
   2   4     1.11474 0.024289 0
   1   5     0.60431 0.015418 0
   3   6     0.12678 0.021401 0
   5   7    -0.00547 0.023349 0
   1   8     0.01556 0.024683 0
   6   9     2.13712 0.017641 0
   5  10     0.73683 0.018773 0
   6  11     0.23862 0.024155 0
   6  12    -0.69093 0.023375 0
   9  13    -0.59504 0.022161 0
   7  14    -0.06243 0.015790 0
  14  15     0.33530 0.021416 0
  12  16     0.19443 0.022053 0
  14  17     0.14895 0.017054 0
   7  18    -0.06019 0.016600 0
   6  19     0.28960 0.022185 0
  18  20     0.26962 0.015158 0
  17  18    -0.39709 0.015489 0
   4  16    -0.04159 0.021938 0
   2   3     0.05387 0.024183 0
   1   6     0.21336 0.019700 0
   2   8     0.56189 0.020163 0
  14  20     0.93655 0.023225 0
   0
   0
   0
