t_sec,kind,file,mode,style,factor,type,loc1,loc2,sigma,clean_value,bad_value,error,error_sigmas,pos
0.000,pmu,pmu/pmu_t00000_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.54727,-0.54727,-1.09454,-7153.856209150327,23
0.000,pmu,pmu/pmu_t00000_00.dat,transient,negate,-1.0,Iang,17,18,0.000364,0.3664,-0.3664,-0.7328,-2013.1868131868132,39
0.000,scada,scada/scada_t00000_00.dat,persistent,negate,-1.0,Pflow,9,13,0.019328,0.45029,-0.45029,-0.90058,-46.59457781456953,45
1.000,pmu,pmu/pmu_t00001_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.55364,-0.55364,-1.10728,-7237.1241830065355,23
1.000,pmu,pmu/pmu_t00001_00.dat,transient,negate,-1.0,Iang,14,15,0.000401,-2.11672,2.11672,4.23344,10557.206982543641,36
2.000,pmu,pmu/pmu_t00002_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.56605,-0.56605,-1.1321,-7399.346405228758,24
2.000,pmu,pmu/pmu_t00002_00.dat,transient,negate,-1.0,Imag,5,7,0.000498,0.21265,-0.21265,-0.4253,-854.0160642570282,17
3.000,pmu,pmu/pmu_t00003_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.57314,-0.57314,-1.14628,-7492.026143790849,22
4.000,pmu,pmu/pmu_t00004_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.58273,-0.58273,-1.16546,-7617.385620915032,22
4.000,pmu,pmu/pmu_t00004_00.dat,transient,negate,-1.0,Imag,5,7,0.000498,0.22058,-0.22058,-0.44116,-885.8634538152611,16
5.000,pmu,pmu/pmu_t00005_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.58806,-0.58806,-1.17612,-7687.058823529412,23
5.000,pmu,pmu/pmu_t00005_00.dat,transient,scale,-15.52722575330616,Iang,17,18,0.000364,0.35972,-5.585453647979292,-5.945173647979292,-16332.894637305746,38
5.000,scada,scada/scada_t00005_00.dat,persistent,negate,-1.0,Pflow,9,13,0.019328,0.47721,-0.47721,-0.95442,-49.3801738410596,45
6.000,pmu,pmu/pmu_t00006_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.59316,-0.59316,-1.18632,-7753.725490196079,23
7.000,pmu,pmu/pmu_t00007_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.60026,-0.60026,-1.20052,-7846.535947712418,24
8.000,pmu,pmu/pmu_t00008_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.60673,-0.60673,-1.21346,-7931.11111111111,22
8.000,pmu,pmu/pmu_t00008_00.dat,transient,negate,-1.0,Iang,20,18,0.00018,0.45026,-0.45026,-0.90052,-5002.888888888889,36
9.000,pmu,pmu/pmu_t00009_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.61024,-0.61024,-1.22048,-7976.993464052287,21
9.000,pmu,pmu/pmu_t00009_00.dat,transient,scale,19.398155291765956,Iang,2,8,0.000322,-1.04971,-20.36243759131964,-19.31272759131964,-59977.414879874654,39
10.000,pmu,pmu/pmu_t00010_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.60785,-0.60785,-1.2157,-7945.751633986928,23
