   7
  2     1.02994 0.000085 0
  5     1.04195 0.000142 0
  8     1.00944 0.000174 0
 11     0.98245 0.000154 0
 14     1.04302 0.000066 0
 17     1.01313 0.000074 0
 20     0.99617 0.000132 0
   7
  2    -0.04897 0.000066 0
  5    -0.09027 0.000087 0
  8    -0.12776 0.000120 0
 11    -0.15984 0.000103 0
 14    -0.07923 0.000095 0
 17    -0.06137 0.000085 0
 20    -0.07285 0.000103 0
   0
   0
   0
   0
  14
   2   1     0.39539 0.000398 0
   2   4     1.49008 0.000408 0
   5   1     0.82493 0.000311 0
   8   1     2.25644 0.000266 0
   5  10     0.92922 0.000303 0
  11   6     1.69761 0.000290 0
  14   7     0.42497 0.000233 0
  14  15     0.43480 0.000390 0
  14  17     0.18698 0.000346 0
  20  18    -0.55364 0.000153 0
  17  18     1.11517 0.000439 0
   2   3     0.49387 0.000307 0
   2   8     0.68647 0.000411 0
  14  20     1.29420 0.000376 0
  15
   2   1     2.58134 0.000359 0
   2   4    -1.09387 0.000416 0
   5   1     2.40558 0.000203 0
   5   7    -0.07161 0.000143 0
   8   1    -3.21755 0.000162 0
   5  10    -1.17238 0.000423 0
  11   6     2.98057 0.000274 0
  14   7    -0.11420 0.000131 0
  14  15     2.11672 0.000401 0
  14  17    -1.96498 0.000461 0
  20  18     0.44982 0.000180 0
  17  18     0.36538 0.000364 0
   2   3    -0.21946 0.000409 0
   2   8    -1.05210 0.000322 0
  14  20    -1.00056 0.000200 0
   0
