  20
  1     1.06391 0.010689 0
  2     1.04906 0.009952 0
  3     0.97546 0.011302 0
  4     0.94171 0.008126 0
  5     1.05082 0.011232 0
  6     1.01474 0.010262 0
  7     1.03860 0.009190 0
  8     0.99108 0.008187 0
  9     0.94559 0.011963 0
 10     0.94362 0.008027 0
 11     0.99280 0.011079 0
 12     1.05563 0.010987 0
 13     1.02093 0.009510 0
 14     1.05572 0.009977 0
 15     0.98506 0.011716 0
 16     0.99210 0.009582 0
 17     1.01649 0.011896 0
 18     1.03216 0.010098 0
 19     0.96395 0.008374 0
 20     0.99866 0.011253 0
   0
   7
  1     7.53117 0.017117 0
  2     1.44147 0.017923 0
  5     0.01038 0.023280 0
  6     3.69470 0.021448 0
  7    -0.64831 0.019117 0
 12     1.20710 0.016440 0
 14     1.08421 0.019767 0
   7
  1     5.40891 0.020543 0
  2     2.07719 0.023161 0
  5     0.45944 0.017216 0
  6     2.91090 0.015952 0
  7    -0.09298 0.015969 0
 12     1.19069 0.017122 0
 14     1.87683 0.015776 0
  25
   1   2     0.39662 0.017350 0
   1   3     3.17882 0.023986 0
   2   4     0.86462 0.016675 0
   1   5     0.80443 0.020421 0
   3   6    -1.37330 0.020249 0
   5   7     0.24004 0.023007 0
   1   8     2.67681 0.017526 0
   6   9     0.03256 0.019662 0
   5  10     0.50862 0.020494 0
   6  11     1.94516 0.017037 0
   6  12     0.38529 0.024392 0
   9  13    -0.51127 0.019328 0
   7  14    -0.47591 0.023513 0
  14  15    -0.24300 0.019100 0
  12  16     1.57464 0.024765 0
  14  17    -0.04071 0.021366 0
   7  18     0.09866 0.017931 0
   6  19     0.59521 0.018039 0
  18  20    -0.54621 0.024580 0
  17  18     1.10710 0.018126 0
   4  16     0.55428 0.023748 0
   2   3     0.57688 0.023266 0
   1   6     0.47725 0.016531 0
   2   8     0.41372 0.020463 0
  14  20     0.89367 0.022204 0
  25
   1   2     0.17809 0.015066 0
   1   3     4.22686 0.020522 0
   2   4     1.50540 0.024289 0
   1   5     0.64536 0.015418 0
   3   6    -0.05476 0.021401 0
   5   7     0.03588 0.023349 0
   1   8     0.22913 0.024683 0
   6   9     2.83547 0.017641 0
   5  10     0.98058 0.018773 0
   6  11     0.30001 0.024155 0
   6  12    -0.79031 0.023375 0
   9  13    -0.81535 0.022161 0
   7  14    -0.03704 0.015790 0
  14  15     0.43836 0.021416 0
  12  16     0.35279 0.022053 0
  14  17     0.19661 0.017054 0
   7  18    -0.02101 0.016600 0
   6  19     0.38725 0.022185 0
  18  20     0.35747 0.015158 0
  17  18    -0.52423 0.015489 0
   4  16    -0.09209 0.021938 0
   2   3     0.16568 0.024183 0
   1   6     0.13019 0.019700 0
   2   8     0.68264 0.020163 0
  14  20     1.19708 0.023225 0
   0
   0
   0
