   7
  2     1.03001 0.000085 0
  5     1.04165 0.000142 0
  8     1.01937 0.000174 0
 11     0.99015 0.000154 0
 14     1.04302 0.000066 0
 17     1.01843 0.000074 0
 20     1.00239 0.000132 0
   7
  2    -0.04158 0.000066 0
  5    -0.07773 0.000087 0
  8    -0.11017 0.000120 0
 11    -0.13411 0.000103 0
 14    -0.06693 0.000095 0
 17    -0.05193 0.000085 0
 20    -0.06138 0.000103 0
   0
   0
   0
   0
  15
   2   1     0.35369 0.000398 0
   2   4     1.29725 0.000408 0
   5   1     0.75830 0.000311 0
   5   7     0.17436 0.000498 0
   8   1     1.93685 0.000266 0
   5  10     0.78604 0.000303 0
  11   6     1.46348 0.000290 0
  14   7     0.37270 0.000233 0
  14  15     0.37421 0.000390 0
  14  17     0.15375 0.000346 0
  20  18     0.47700 0.000153 0
  17  18     0.96355 0.000439 0
   2   3     0.41092 0.000307 0
   2   8     0.61957 0.000411 0
  14  20     1.12355 0.000376 0
  15
   2   1     2.50707 0.000359 0
   2   4    -1.08568 0.000416 0
   5   1     2.33679 0.000203 0
   5   7    -0.08878 0.000143 0
   8   1    -3.18448 0.000162 0
   5  10    -1.14500 0.000423 0
  11   6    -3.27467 0.000274 0
  14   7    -0.11853 0.000131 0
  14  15    -2.11096 0.000401 0
  14  17    -1.97528 0.000461 0
  20  18     0.44403 0.000180 0
  17  18     0.37780 0.000364 0
   2   3    -0.05264 0.000409 0
   2   8    -1.06146 0.000322 0
  14  20    -0.98938 0.000200 0
   0
