  20
  1     1.06520 0.010689 0
  2     1.03455 0.009952 0
  3     0.97286 0.011302 0
  4     0.94450 0.008126 0
  5     1.04541 0.011232 0
  6     1.02318 0.010262 0
  7     1.04184 0.009190 0
  8     1.02209 0.008187 0
  9     0.94656 0.011963 0
 10     0.93265 0.008027 0
 11     0.97429 0.011079 0
 12     1.04540 0.010987 0
 13     1.00395 0.009510 0
 14     1.02465 0.009977 0
 15     0.99259 0.011716 0
 16     0.97978 0.009582 0
 17     1.00301 0.011896 0
 18     1.02584 0.010098 0
 19     0.98896 0.008374 0
 20     1.01885 0.011253 0
   0
   7
  1     7.02868 0.017117 0
  2     1.33937 0.017923 0
  5    -0.01567 0.023280 0
  6     3.49286 0.021448 0
  7    -0.54227 0.019117 0
 12     1.13567 0.016440 0
 14     1.06759 0.019767 0
   7
  1     5.10951 0.020543 0
  2     1.89141 0.023161 0
  5     0.36583 0.017216 0
  6     2.56317 0.015952 0
  7    -0.06664 0.015969 0
 12     1.11231 0.017122 0
 14     1.76116 0.015776 0
  25
   1   2     0.36924 0.017350 0
   1   3     2.96709 0.023986 0
   2   4     0.81255 0.016675 0
   1   5     0.72416 0.020421 0
   3   6    -1.27551 0.020249 0
   5   7     0.22115 0.023007 0
   1   8     2.50192 0.017526 0
   6   9    -0.00516 0.019662 0
   5  10     0.44980 0.020494 0
   6  11     1.80289 0.017037 0
   6  12     0.31661 0.024392 0
   9  13     0.45188 0.019328 0
   7  14    -0.46072 0.023513 0
  14  15    -0.18896 0.019100 0
  12  16     1.46220 0.024765 0
  14  17    -0.03970 0.021366 0
   7  18     0.08995 0.017931 0
   6  19     0.55194 0.018039 0
  18  20    -0.52310 0.024580 0
  17  18     1.08582 0.018126 0
   4  16     0.49324 0.023748 0
   2   3     0.50508 0.023266 0
   1   6     0.49972 0.016531 0
   2   8     0.40050 0.020463 0
  14  20     0.87010 0.022204 0
  25
   1   2     0.15414 0.015066 0
   1   3     3.98742 0.020522 0
   2   4     1.39057 0.024289 0
   1   5     0.64118 0.015418 0
   3   6    -0.00594 0.021401 0
   5   7    -0.02187 0.023349 0
   1   8     0.20400 0.024683 0
   6   9     2.63418 0.017641 0
   5  10     0.87522 0.018773 0
   6  11     0.24043 0.024155 0
   6  12    -0.71738 0.023375 0
   9  13    -0.73286 0.022161 0
   7  14    -0.06329 0.015790 0
  14  15     0.42368 0.021416 0
  12  16     0.34623 0.022053 0
  14  17     0.20550 0.017054 0
   7  18    -0.05132 0.016600 0
   6  19     0.37991 0.022185 0
  18  20     0.31014 0.015158 0
  17  18    -0.49997 0.015489 0
   4  16    -0.07975 0.021938 0
   2   3     0.09371 0.024183 0
   1   6     0.16050 0.019700 0
   2   8     0.63571 0.020163 0
  14  20     1.10277 0.023225 0
   0
   0
   0
