channel_id,group,type,loc1,loc2,sigma
0,scada,Vmag,1,,1.068911e-02
1,scada,Vmag,2,,9.952314e-03
2,scada,Vmag,3,,1.130198e-02
3,scada,Vmag,4,,8.125786e-03
4,scada,Vmag,5,,1.123220e-02
5,scada,Vmag,6,,1.026247e-02
6,scada,Vmag,7,,9.190490e-03
7,scada,Vmag,8,,8.186783e-03
8,scada,Vmag,9,,1.196251e-02
9,scada,Vmag,10,,8.027303e-03
10,scada,Vmag,11,,1.107917e-02
11,scada,Vmag,12,,1.098707e-02
12,scada,Vmag,13,,9.509756e-03
13,scada,Vmag,14,,9.976590e-03
14,scada,Vmag,15,,1.171579e-02
15,scada,Vmag,16,,9.581816e-03
16,scada,Vmag,17,,1.189583e-02
17,scada,Vmag,18,,1.009766e-02
18,scada,Vmag,19,,8.374452e-03
19,scada,Vmag,20,,1.125323e-02
20,scada,Pinj,1,,1.711687e-02
21,scada,Qinj,1,,2.054346e-02
22,scada,Pinj,2,,1.792269e-02
23,scada,Qinj,2,,2.316142e-02
24,scada,Pinj,5,,2.328043e-02
25,scada,Qinj,5,,1.721577e-02
26,scada,Pinj,6,,2.144835e-02
27,scada,Qinj,6,,1.595182e-02
28,scada,Pinj,7,,1.911663e-02
29,scada,Qinj,7,,1.596865e-02
30,scada,Pinj,12,,1.644011e-02
31,scada,Qinj,12,,1.712196e-02
32,scada,Pinj,14,,1.976656e-02
33,scada,Qinj,14,,1.577614e-02
34,scada,Pflow,1,2,1.735044e-02
35,scada,Qflow,1,2,1.506553e-02
36,scada,Pflow,1,3,2.398644e-02
37,scada,Qflow,1,3,2.052234e-02
38,scada,Pflow,2,4,1.667547e-02
39,scada,Qflow,2,4,2.428878e-02
40,scada,Pflow,1,5,2.042088e-02
41,scada,Qflow,1,5,1.541759e-02
42,scada,Pflow,3,6,2.024877e-02
43,scada,Qflow,3,6,2.140143e-02
44,scada,Pflow,5,7,2.300658e-02
45,scada,Qflow,5,7,2.334919e-02
46,scada,Pflow,1,8,1.752632e-02
47,scada,Qflow,1,8,2.468274e-02
48,scada,Pflow,6,9,1.966238e-02
49,scada,Qflow,6,9,1.764091e-02
50,scada,Pflow,5,10,2.049378e-02
51,scada,Qflow,5,10,1.877334e-02
52,scada,Pflow,6,11,1.703728e-02
53,scada,Qflow,6,11,2.415462e-02
54,scada,Pflow,6,12,2.439177e-02
55,scada,Qflow,6,12,2.337494e-02
56,scada,Pflow,9,13,1.932789e-02
57,scada,Qflow,9,13,2.216113e-02
58,scada,Pflow,7,14,2.351344e-02
59,scada,Qflow,7,14,1.579047e-02
60,scada,Pflow,14,15,1.909959e-02
61,scada,Qflow,14,15,2.141570e-02
62,scada,Pflow,12,16,2.476451e-02
63,scada,Qflow,12,16,2.205288e-02
64,scada,Pflow,14,17,2.136620e-02
65,scada,Qflow,14,17,1.705387e-02
66,scada,Pflow,7,18,1.793065e-02
67,scada,Qflow,7,18,1.660010e-02
68,scada,Pflow,6,19,1.803933e-02
69,scada,Qflow,6,19,2.218506e-02
70,scada,Pflow,18,20,2.457980e-02
71,scada,Qflow,18,20,1.515782e-02
72,scada,Pflow,17,18,1.812594e-02
73,scada,Qflow,17,18,1.548913e-02
74,scada,Pflow,4,16,2.374771e-02
75,scada,Qflow,4,16,2.193758e-02
76,scada,Pflow,2,3,2.326559e-02
77,scada,Qflow,2,3,2.418348e-02
78,scada,Pflow,1,6,1.653118e-02
79,scada,Qflow,1,6,1.970029e-02
80,scada,Pflow,2,8,2.046269e-02
81,scada,Qflow,2,8,2.016253e-02
82,scada,Pflow,14,20,2.220418e-02
83,scada,Qflow,14,20,2.322525e-02
84,pmu,Vmag,2,,8.528998e-05
85,pmu,Vang,2,,6.583100e-05
86,pmu,Vmag,5,,1.420820e-04
87,pmu,Vang,5,,8.654845e-05
88,pmu,Vmag,8,,1.740420e-04
89,pmu,Vang,8,,1.198294e-04
90,pmu,Vmag,11,,1.536545e-04
91,pmu,Vang,11,,1.032205e-04
92,pmu,Vmag,14,,6.551995e-05
93,pmu,Vang,14,,9.483191e-05
94,pmu,Vmag,17,,7.448133e-05
95,pmu,Vang,17,,8.492362e-05
96,pmu,Vmag,20,,1.316626e-04
97,pmu,Vang,20,,1.032367e-04
98,pmu,Imag,2,1,3.978589e-04
99,pmu,Iang,2,1,3.592635e-04
100,pmu,Imag,2,4,4.080151e-04
101,pmu,Iang,2,4,4.161327e-04
102,pmu,Imag,5,1,3.106345e-04
103,pmu,Iang,5,1,2.025171e-04
104,pmu,Imag,5,7,4.981460e-04
105,pmu,Iang,5,7,1.426493e-04
106,pmu,Imag,8,1,2.659765e-04
107,pmu,Iang,8,1,1.618481e-04
108,pmu,Imag,5,10,3.028318e-04
109,pmu,Iang,5,10,4.227506e-04
110,pmu,Imag,11,6,2.899050e-04
111,pmu,Iang,11,6,2.736567e-04
112,pmu,Imag,14,7,2.326814e-04
113,pmu,Iang,14,7,1.306994e-04
114,pmu,Imag,14,15,3.896902e-04
115,pmu,Iang,14,15,4.005415e-04
116,pmu,Imag,14,17,3.460158e-04
117,pmu,Iang,14,17,4.608718e-04
118,pmu,Imag,20,18,1.532544e-04
119,pmu,Iang,20,18,1.802637e-04
120,pmu,Imag,17,18,4.392931e-04
121,pmu,Iang,17,18,3.644468e-04
122,pmu,Imag,2,3,3.065746e-04
123,pmu,Iang,2,3,4.090322e-04
124,pmu,Imag,2,8,4.105692e-04
125,pmu,Iang,2,8,3.219456e-04
126,pmu,Imag,14,20,3.758126e-04
127,pmu,Iang,14,20,1.996549e-04
