t_sec,kind,file,mode,style,factor,type,loc1,loc2,sigma,clean_value,bad_value,error,error_sigmas,pos
0.000,pmu,pmu/pmu_t00000_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.54712,-0.54712,-1.09424,-7151.895424836602,24
0.000,pmu,pmu/pmu_t00000_00.dat,transient,negate,-1.0,Imag,8,1,0.000266,2.2267,-2.2267,-4.4534,-16742.105263157893,18
0.000,scada,scada/scada_t00000_00.dat,persistent,negate,-1.0,Pflow,9,13,0.019328,0.45029,-0.45029,-0.90058,-46.59457781456953,45
1.000,pmu,pmu/pmu_t00001_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.55387,-0.55387,-1.10774,-7240.130718954248,24
1.000,pmu,pmu/pmu_t00001_00.dat,transient,scale,-18.94922945322006,Vang,14,,9.5e-05,-0.07922,1.5011579572840932,1.5803779572840932,16635.557445095717,11
2.000,pmu,pmu/pmu_t00002_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.56567,-0.56567,-1.13134,-7394.3790849673205,24
2.000,pmu,pmu/pmu_t00002_00.dat,transient,negate,-1.0,Imag,5,7,0.000498,0.21312,-0.21312,-0.42624,-855.9036144578314,17
3.000,pmu,pmu/pmu_t00003_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.57359,-0.57359,-1.14718,-7497.908496732027,24
4.000,pmu,pmu/pmu_t00004_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.58262,-0.58262,-1.16524,-7615.9477124183,24
4.000,pmu,pmu/pmu_t00004_00.dat,transient,negate,-1.0,Imag,5,1,0.000311,0.85307,-0.85307,-1.70614,-5485.980707395498,16
5.000,pmu,pmu/pmu_t00005_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.58823,-0.58823,-1.17646,-7689.281045751634,24
5.000,pmu,pmu/pmu_t00005_00.dat,transient,scale,23.61795341049735,Vmag,2,,8.5e-05,1.03014,24.329798526289743,23.299658526289743,274113.6297210558,0
