t_sec,kind,n_meas,lambda,file,n_bad
0.000,pmu,44,1.00000,pmu/pmu_t00000_00.dat,2
0.000,scada,84,1.00000,scada/scada_t00000_00.dat,1
1.000,pmu,44,1.01197,pmu/pmu_t00001_00.dat,2
2.000,pmu,44,1.03267,pmu/pmu_t00002_00.dat,2
3.000,pmu,44,1.04516,pmu/pmu_t00003_00.dat,1
4.000,pmu,44,1.06140,pmu/pmu_t00004_00.dat,2
5.000,pmu,44,1.07071,pmu/pmu_t00005_00.dat,2
5.000,scada,84,1.07071,scada/scada_t00005_00.dat,1
6.000,pmu,44,1.07990,pmu/pmu_t00006_00.dat,1
7.000,pmu,44,1.09174,pmu/pmu_t00007_00.dat,1
8.000,pmu,44,1.10278,pmu/pmu_t00008_00.dat,2
9.000,pmu,44,1.10888,pmu/pmu_t00009_00.dat,2
10.000,pmu,44,1.10507,pmu/pmu_t00010_00.dat,1
10.000,scada,84,1.10507,scada/scada_t00010_00.dat,2
11.000,pmu,44,1.10999,pmu/pmu_t00011_00.dat,1
12.000,pmu,44,1.11719,pmu/pmu_t00012_00.dat,1
13.000,pmu,44,1.12023,pmu/pmu_t00013_00.dat,2
14.000,pmu,44,1.12374,pmu/pmu_t00014_00.dat,1
15.000,pmu,44,1.12504,pmu/pmu_t00015_00.dat,2
15.000,scada,84,1.12504,scada/scada_t00015_00.dat,1
16.000,pmu,44,1.11813,pmu/pmu_t00016_00.dat,1
17.000,pmu,44,1.11982,pmu/pmu_t00017_00.dat,1
18.000,pmu,44,1.11401,pmu/pmu_t00018_00.dat,2
19.000,pmu,44,1.10751,pmu/pmu_t00019_00.dat,2
20.000,pmu,44,1.10438,pmu/pmu_t00020_00.dat,1
20.000,scada,84,1.10438,scada/scada_t00020_00.dat,1
21.000,pmu,44,1.09457,pmu/pmu_t00021_00.dat,1
22.000,pmu,44,1.08796,pmu/pmu_t00022_00.dat,2
23.000,pmu,44,1.07578,pmu/pmu_t00023_00.dat,1
24.000,pmu,44,1.06572,pmu/pmu_t00024_00.dat,1
25.000,pmu,44,1.05417,pmu/pmu_t00025_00.dat,2
25.000,scada,84,1.05417,scada/scada_t00025_00.dat,1
26.000,pmu,44,1.04172,pmu/pmu_t00026_00.dat,1
27.000,pmu,44,1.02743,pmu/pmu_t00027_00.dat,2
28.000,pmu,44,1.01609,pmu/pmu_t00028_00.dat,1
29.000,pmu,44,1.00505,pmu/pmu_t00029_00.dat,2
30.000,pmu,44,0.99696,pmu/pmu_t00030_00.dat,1
30.000,scada,84,0.99696,scada/scada_t00030_00.dat,1
31.000,pmu,44,0.98243,pmu/pmu_t00031_00.dat,1
32.000,pmu,44,0.97073,pmu/pmu_t00032_00.dat,1
33.000,pmu,44,0.96786,pmu/pmu_t00033_00.dat,2
34.000,pmu,44,0.95721,pmu/pmu_t00034_00.dat,2
35.000,pmu,44,0.94735,pmu/pmu_t00035_00.dat,2
35.000,scada,84,0.94735,scada/scada_t00035_00.dat,1
36.000,pmu,44,0.93781,pmu/pmu_t00036_00.dat,2
37.000,pmu,44,0.92040,pmu/pmu_t00037_00.dat,2
38.000,pmu,44,0.91047,pmu/pmu_t00038_00.dat,1
39.000,pmu,44,0.89404,pmu/pmu_t00039_00.dat,1
40.000,pmu,44,0.89153,pmu/pmu_t00040_00.dat,1
40.000,scada,84,0.89153,scada/scada_t00040_00.dat,1
41.000,pmu,44,0.89309,pmu/pmu_t00041_00.dat,2
42.000,pmu,44,0.88620,pmu/pmu_t00042_00.dat,2
43.000,pmu,44,0.88997,pmu/pmu_t00043_00.dat,2
44.000,pmu,44,0.88278,pmu/pmu_t00044_00.dat,1
45.000,pmu,44,0.87715,pmu/pmu_t00045_00.dat,2
45.000,scada,84,0.87715,scada/scada_t00045_00.dat,2
46.000,pmu,44,0.88030,pmu/pmu_t00046_00.dat,1
47.000,pmu,44,0.87904,pmu/pmu_t00047_00.dat,2
48.000,pmu,44,0.88066,pmu/pmu_t00048_00.dat,1
49.000,pmu,44,0.89003,pmu/pmu_t00049_00.dat,2
50.000,pmu,44,0.89187,pmu/pmu_t00050_00.dat,1
50.000,scada,84,0.89187,scada/scada_t00050_00.dat,2
51.000,pmu,44,0.89800,pmu/pmu_t00051_00.dat,1
52.000,pmu,44,0.90593,pmu/pmu_t00052_00.dat,2
53.000,pmu,44,0.91681,pmu/pmu_t00053_00.dat,1
54.000,pmu,44,0.92979,pmu/pmu_t00054_00.dat,1
55.000,pmu,44,0.93988,pmu/pmu_t00055_00.dat,2
55.000,scada,84,0.93988,scada/scada_t00055_00.dat,1
56.000,pmu,44,0.94629,pmu/pmu_t00056_00.dat,1
57.000,pmu,44,0.96254,pmu/pmu_t00057_00.dat,1
58.000,pmu,44,0.98622,pmu/pmu_t00058_00.dat,1
59.000,pmu,44,1.00079,pmu/pmu_t00059_00.dat,1
60.000,pmu,44,1.01424,pmu/pmu_t00060_00.dat,2
60.000,scada,84,1.01424,scada/scada_t00060_00.dat,1
