  20
  1     1.05097 0.010689 0
  2     1.02032 0.009952 0
  3     0.99392 0.011302 0
  4     0.95012 0.008126 0
  5     1.04849 0.011232 0
  6     1.03312 0.010262 0
  7     1.04476 0.009190 0
  8     1.00409 0.008187 0
  9     0.95602 0.011963 0
 10     0.93774 0.008027 0
 11     0.96779 0.011079 0
 12     1.02905 0.010987 0
 13     1.02379 0.009510 0
 14     1.05377 0.009977 0
 15     0.99444 0.011716 0
 16     0.98190 0.009582 0
 17     1.01586 0.011896 0
 18     1.04277 0.010098 0
 19     0.96585 0.008374 0
 20     0.99121 0.011253 0
   0
   7
  1     7.41041 0.017117 0
  2     1.39854 0.017923 0
  5    -0.05466 0.023280 0
  6     3.65665 0.021448 0
  7    -0.63257 0.019117 0
 12     1.19439 0.016440 0
 14     1.08405 0.019767 0
   7
  1     5.30029 0.020543 0
  2     2.06664 0.023161 0
  5     0.43225 0.017216 0
  6     2.82186 0.015952 0
  7    -0.09306 0.015969 0
 12     1.20700 0.017122 0
 14     1.85110 0.015776 0
  25
   1   2     0.39987 0.017350 0
   1   3     3.09116 0.023986 0
   2   4     0.81996 0.016675 0
   1   5     0.74966 0.020421 0
   3   6    -1.33992 0.020249 0
   5   7    -4.29155 0.023007 0
   1   8     2.61526 0.017526 0
   6   9     0.02843 0.019662 0
   5  10     0.49261 0.020494 0
   6  11     1.91294 0.017037 0
   6  12     0.41366 0.024392 0
   9  13    -0.48075 0.019328 0
   7  14    -0.47054 0.023513 0
  14  15    -0.25286 0.019100 0
  12  16     1.50694 0.024765 0
  14  17    -0.08690 0.021366 0
   7  18     0.08572 0.017931 0
   6  19     0.56091 0.018039 0
  18  20    -0.53288 0.024580 0
  17  18     1.14305 0.018126 0
   4  16     0.49190 0.023748 0
   2   3     0.54537 0.023266 0
   1   6     0.50589 0.016531 0
   2   8     0.37101 0.020463 0
  14  20     0.86149 0.022204 0
  25
   1   2     0.15775 0.015066 0
   1   3     4.17047 0.020522 0
   2   4     1.46940 0.024289 0
   1   5     0.61533 0.015418 0
   3   6    -0.07919 0.021401 0
   5   7    -0.02816 0.023349 0
   1   8     0.23159 0.024683 0
   6   9     2.81121 0.017641 0
   5  10     0.94084 0.018773 0
   6  11     0.28484 0.024155 0
   6  12    -0.75623 0.023375 0
   9  13    -0.77526 0.022161 0
   7  14    -0.02779 0.015790 0
  14  15     0.43008 0.021416 0
  12  16     0.35460 0.022053 0
  14  17     0.22313 0.017054 0
   7  18    -0.04594 0.016600 0
   6  19     0.38844 0.022185 0
  18  20     0.32356 0.015158 0
  17  18    -0.50324 0.015489 0
   4  16    -0.11761 0.021938 0
   2   3     0.13167 0.024183 0
   1   6     0.14867 0.019700 0
   2   8     0.63254 0.020163 0
  14  20     1.16259 0.023225 0
   0
   0
   0
