   7
  2     1.03003 0.000121 0
  5     1.04207 0.000100 0
  8     1.00146 0.000159 0
 11     0.97649 0.000142 0
 14     1.04297 0.000070 0
 17     1.00917 0.000177 0
 20     0.99161 0.000127 0
   7
  2    -0.05469 0.000115 0
  5    -0.10007 0.000062 0
  8    -0.14080 0.000163 0
 11    -0.17960 0.000185 0
 14    -0.08903 0.000080 0
 17    -0.06918 0.000149 0
 20    -0.08182 0.000166 0
   0
   0
   0
   0
  15
   2   1     0.42803 0.000411 0
   2   4     1.63672 0.000376 0
   5   1     0.87946 0.000381 0
   5   7     0.23442 0.000347 0
   8   1     2.49522 0.000344 0
   5  10     1.04165 0.000131 0
  11   6     1.87388 0.000219 0
  14   7     0.46200 0.000363 0
  14  15     0.47947 0.000373 0
  14  17     0.21160 0.000460 0
  20  18     0.61081 0.000479 0
  17  18     1.22710 0.000162 0
   2   3     0.56299 0.000115 0
   2   8     0.73666 0.000157 0
  14  20     1.42098 0.000428 0
  15
   2   1     2.62657 0.000322 0
   2   4    -1.10160 0.000200 0
   5   1     2.45108 0.000260 0
   5   7    -0.06311 0.000340 0
   8   1    -3.24072 0.000381 0
   5  10    -1.19291 0.000185 0
  11   6     2.95990 0.000486 0
  14   7    -0.11464 0.000170 0
  14  15    -2.12187 0.000436 0
  14  17    -1.96147 0.000183 0
  20  18     0.44964 0.000193 0
  17  18     0.35540 0.000352 0
   2   3    -0.31670 0.000418 0
   2   8    -1.04987 0.000135 0
  14  20    -1.00886 0.000485 0
   0
