channel_id,group,type,loc1,loc2,sigma
0,scada,Vmag,1,,1.068911e-02
1,scada,Vmag,2,,9.952314e-03
2,scada,Vmag,3,,1.130198e-02
3,scada,Vmag,4,,8.125786e-03
4,scada,Vmag,5,,1.123220e-02
5,scada,Vmag,6,,1.026247e-02
6,scada,Vmag,7,,9.190490e-03
7,scada,Vmag,8,,8.186783e-03
8,scada,Vmag,9,,1.196251e-02
9,scada,Vmag,10,,8.027303e-03
10,scada,Vmag,11,,1.107917e-02
11,scada,Vmag,12,,1.098707e-02
12,scada,Vmag,13,,9.509756e-03
13,scada,Vmag,14,,9.976590e-03
14,scada,Vmag,15,,1.171579e-02
15,scada,Vmag,16,,9.581816e-03
16,scada,Vmag,17,,1.189583e-02
17,scada,Vmag,18,,1.009766e-02
18,scada,Vmag,19,,8.374452e-03
19,scada,Vmag,20,,1.125323e-02
20,scada,Pinj,1,,1.711687e-02
21,scada,Qinj,1,,2.054346e-02
22,scada,Pinj,2,,1.792269e-02
23,scada,Qinj,2,,2.316142e-02
24,scada,Pinj,3,,2.328043e-02
25,scada,Qinj,3,,1.721577e-02
26,scada,Pinj,4,,2.144835e-02
27,scada,Qinj,4,,1.595182e-02
28,scada,Pinj,5,,1.911663e-02
29,scada,Qinj,5,,1.596865e-02
30,scada,Pinj,6,,1.644011e-02
31,scada,Qinj,6,,1.712196e-02
32,scada,Pinj,7,,1.976656e-02
33,scada,Qinj,7,,1.577614e-02
34,scada,Pinj,8,,1.735044e-02
35,scada,Qinj,8,,1.506553e-02
36,scada,Pinj,9,,2.398644e-02
37,scada,Qinj,9,,2.052234e-02
38,scada,Pinj,10,,1.667547e-02
39,scada,Qinj,10,,2.428878e-02
40,scada,Pinj,11,,2.042088e-02
41,scada,Qinj,11,,1.541759e-02
42,scada,Pinj,12,,2.024877e-02
43,scada,Qinj,12,,2.140143e-02
44,scada,Pinj,13,,2.300658e-02
45,scada,Qinj,13,,2.334919e-02
46,scada,Pinj,14,,1.752632e-02
47,scada,Qinj,14,,2.468274e-02
48,scada,Pinj,15,,1.966238e-02
49,scada,Qinj,15,,1.764091e-02
50,scada,Pinj,16,,2.049378e-02
51,scada,Qinj,16,,1.877334e-02
52,scada,Pinj,17,,1.703728e-02
53,scada,Qinj,17,,2.415462e-02
54,scada,Pinj,18,,2.439177e-02
55,scada,Qinj,18,,2.337494e-02
56,scada,Pinj,19,,1.932789e-02
57,scada,Qinj,19,,2.216113e-02
58,scada,Pinj,20,,2.351344e-02
59,scada,Qinj,20,,1.579047e-02
60,scada,Pflow,1,2,1.909959e-02
61,scada,Qflow,1,2,2.141570e-02
62,scada,Pflow,1,3,2.476451e-02
63,scada,Qflow,1,3,2.205288e-02
64,scada,Pflow,2,4,2.136620e-02
65,scada,Qflow,2,4,1.705387e-02
66,scada,Pflow,1,5,1.793065e-02
67,scada,Qflow,1,5,1.660010e-02
68,scada,Pflow,3,6,1.803933e-02
69,scada,Qflow,3,6,2.218506e-02
70,scada,Pflow,5,7,2.457980e-02
71,scada,Qflow,5,7,1.515782e-02
72,scada,Pflow,1,8,1.812594e-02
73,scada,Qflow,1,8,1.548913e-02
74,scada,Pflow,6,9,2.374771e-02
75,scada,Qflow,6,9,2.193758e-02
76,scada,Pflow,5,10,2.326559e-02
77,scada,Qflow,5,10,2.418348e-02
78,scada,Pflow,6,11,1.653118e-02
79,scada,Qflow,6,11,1.970029e-02
80,scada,Pflow,6,12,2.046269e-02
81,scada,Qflow,6,12,2.016253e-02
