t_sec,lambda,pf_converged,pf_max_mismatch,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,Vang_rad1,Vang_rad2,Vang_rad3,Vang_rad4,Vang_rad5,Vang_rad6,Vang_rad7,Vang_rad8,Vang_rad9,Vang_rad10,Vang_rad11,Vang_rad12,Vang_rad13,Vang_rad14,Vang_rad15,Vang_rad16,Vang_rad17,Vang_rad18,Vang_rad19,Vang_rad20
0.000,1.00000,1,4.441e-15,1.060000,1.030000,1.003350,0.962598,1.042000,1.025000,1.037000,1.010149,0.968879,0.962008,0.983080,1.047000,1.028012,1.043000,1.009463,0.989958,1.013633,1.025723,0.984277,0.996903,0.000000,-0.048347,-0.131323,-0.110688,-0.089278,-0.017657,-0.109317,-0.126119,-0.017689,-0.180214,-0.157408,-0.060108,-0.069116,-0.078211,-0.040051,-0.193467,-0.060724,-0.117303,-0.047818,-0.071854
1.000,1.01197,1,5.245e-10,1.060000,1.030000,1.001954,0.961405,1.042000,1.025000,1.037000,1.009203,0.967057,0.959575,0.982390,1.047000,1.026934,1.043000,1.009027,0.989367,1.013126,1.025577,0.983718,0.996342,0.000000,-0.049020,-0.133049,-0.112169,-0.090386,-0.018227,-0.110691,-0.127734,-0.018261,-0.182672,-0.159749,-0.060998,-0.070455,-0.079229,-0.040590,-0.196063,-0.061469,-0.118767,-0.048753,-0.072787
2.000,1.03267,1,5.582e-09,1.060000,1.030000,0.999404,0.959299,1.042000,1.025000,1.037000,1.007576,0.964000,0.955384,0.981167,1.047000,1.025178,1.043000,1.008274,0.988319,1.012285,1.025353,0.982767,0.995378,0.000000,-0.050198,-0.136177,-0.114759,-0.092445,-0.019237,-0.113328,-0.130506,-0.019296,-0.187054,-0.163879,-0.062545,-0.072830,-0.081266,-0.041800,-0.200594,-0.063107,-0.121634,-0.050384,-0.074699
3.000,1.04516,1,8.019e-10,1.060000,1.030000,0.997837,0.958028,1.042000,1.025000,1.037000,1.006597,0.962126,0.952853,0.980426,1.047000,1.024073,1.043000,1.007812,0.987681,1.011788,1.025231,0.982168,0.994797,0.000000,-0.050911,-0.138092,-0.116330,-0.093758,-0.019851,-0.115049,-0.132170,-0.019917,-0.189768,-0.166375,-0.063488,-0.074253,-0.082637,-0.042664,-0.203358,-0.064261,-0.123532,-0.051389,-0.076003
4.000,1.06140,1,2.371e-09,1.060000,1.030000,0.995780,0.956398,1.042000,1.025000,1.037000,1.005294,0.959701,0.949475,0.979485,1.047000,1.022671,1.043000,1.007229,0.986859,1.011105,1.025044,0.981393,0.994042,0.000000,-0.051839,-0.140590,-0.118352,-0.095335,-0.020626,-0.117046,-0.134376,-0.020713,-0.193215,-0.169524,-0.064679,-0.076116,-0.084152,-0.043539,-0.206893,-0.065433,-0.125690,-0.052670,-0.077418
5.000,1.07071,1,2.623e-10,1.060000,1.030000,0.994596,0.955420,1.042000,1.025000,1.037000,1.004577,0.958247,0.947468,0.978940,1.047000,1.021811,1.043000,1.006885,0.986372,1.010732,1.024945,0.980969,0.993608,0.000000,-0.052365,-0.142024,-0.119510,-0.096313,-0.021070,-0.118307,-0.135588,-0.021163,-0.195302,-0.171335,-0.065358,-0.077193,-0.085154,-0.044164,-0.208906,-0.066266,-0.127068,-0.053390,-0.078364
6.000,1.07990,1,2.425e-10,1.060000,1.030000,0.993437,0.954451,1.042000,1.025000,1.037000,1.003823,0.956858,0.945618,0.978389,1.047000,1.021000,1.043000,1.006550,0.985885,1.010332,1.024828,0.980520,0.993174,0.000000,-0.052904,-0.143440,-0.120686,-0.097145,-0.021537,-0.119350,-0.136861,-0.021641,-0.197156,-0.173181,-0.066067,-0.078281,-0.085918,-0.044560,-0.210957,-0.066817,-0.128184,-0.054150,-0.079064
7.000,1.09174,1,6.408e-10,1.060000,1.030000,0.991960,0.953232,1.042000,1.025000,1.037000,1.002853,0.955022,0.943194,0.977653,1.047000,1.019913,1.043000,1.006109,0.985271,1.009833,1.024691,0.979959,0.992610,0.000000,-0.053574,-0.145239,-0.122157,-0.098335,-0.022131,-0.120895,-0.138492,-0.022245,-0.199685,-0.175611,-0.066946,-0.079681,-0.087130,-0.045290,-0.213526,-0.067787,-0.129873,-0.055110,-0.080200
8.000,1.10278,1,4.951e-10,1.060000,1.030000,0.990575,0.952089,1.042000,1.025000,1.037000,1.001975,0.953324,0.940857,0.976990,1.047000,1.018909,1.043000,1.005701,0.984694,1.009367,1.024557,0.979429,0.992081,0.000000,-0.054199,-0.146920,-0.123531,-0.099446,-0.022682,-0.122325,-0.139966,-0.022806,-0.202085,-0.177807,-0.067772,-0.080982,-0.088254,-0.045968,-0.215929,-0.068679,-0.131427,-0.056006,-0.081247
9.000,1.10888,1,5.042e-11,1.060000,1.030000,0.989795,0.951456,1.042000,1.025000,1.037000,1.001479,0.952354,0.939602,0.976615,1.047000,1.018325,1.043000,1.005472,0.984368,1.009112,1.024491,0.979136,0.991808,0.000000,-0.054563,-0.147874,-0.124332,-0.100020,-0.023007,-0.123055,-0.140799,-0.023134,-0.203352,-0.179058,-0.068278,-0.081724,-0.088798,-0.046261,-0.217353,-0.069100,-0.132222,-0.056521,-0.081760
