t_sec,kind,file,mode,style,factor,type,loc1,loc2,sigma,clean_value,bad_value,error,error_sigmas,pos
0.000,pmu,pmu/pmu_t00000_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.16946,1.16946,2.33892,12642.81081081081,34
0.000,pmu,pmu/pmu_t00000_00.dat,transient,negate,-1.0,Imag,8,1,0.000344,2.22665,-2.22665,-4.4533,-12945.63953488372,18
0.000,scada,scada/scada_t00000_00.dat,persistent,scale,17.167546295960953,Qinj,18,,0.023375,0.93195,15.999294770520809,15.067344770520808,644.592289647949,57
1.000,pmu,pmu/pmu_t00001_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.17209,1.17209,2.34418,12671.243243243243,34
1.000,pmu,pmu/pmu_t00001_00.dat,transient,scale,-18.94922945322006,Vang,14,,8e-05,-0.07923,1.5013474495786252,1.5805774495786251,19757.218119732814,11
2.000,pmu,pmu/pmu_t00002_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.17618,1.17618,2.35236,12715.45945945946,34
2.000,pmu,pmu/pmu_t00002_00.dat,transient,negate,-1.0,Imag,5,7,0.000347,0.21299,-0.21299,-0.42598,-1227.6080691642653,17
3.000,pmu,pmu/pmu_t00003_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.17909,1.17909,2.35818,12746.918918918918,34
4.000,pmu,pmu/pmu_t00004_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.18246,1.18246,2.36492,12783.351351351352,34
4.000,pmu,pmu/pmu_t00004_00.dat,transient,negate,-1.0,Imag,5,1,0.000381,0.85319,-0.85319,-1.70638,-4478.687664041995,16
5.000,pmu,pmu/pmu_t00005_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.1847,1.1847,2.3694,12807.567567567568,34
5.000,pmu,pmu/pmu_t00005_00.dat,transient,scale,23.61795341049735,Vmag,2,,0.000121,1.03019,24.33097942396026,23.30078942396026,192568.5076360352,0
