   7
  2     1.03000 0.000121 0
  5     1.04208 0.000100 0
  8     1.01853 0.000159 0
 11     0.98910 0.000142 0
 14     1.04283 0.000070 0
 17     1.01812 0.000177 0
 20     1.00189 0.000127 0
   7
  2    -0.04215 0.000115 0
  5    -0.07873 0.000062 0
  8    -0.11200 0.000163 0
 11    -0.13632 0.000185 0
 14    -0.06810 0.000080 0
 17    -0.05261 0.000149 0
 20    -0.06239 0.000166 0
   0
   0
   0
   0
  15
   2   1     0.35851 0.000411 0
   2   4     1.31626 0.000376 0
   5   1     0.76508 0.000381 0
   5   7     0.17666 0.000347 0
   8   1     1.96775 0.000344 0
   5  10     0.79916 0.000131 0
  11   6     1.48572 0.000219 0
  14   7     0.37831 0.000363 0
  14  15     0.37982 0.000373 0
  14  17     0.15666 0.000460 0
  20  18     0.48479 0.000479 0
  17  18     0.97875 0.000162 0
   2   3     0.41801 0.000115 0
   2   8     0.62684 0.000157 0
  14  20     1.13849 0.000428 0
  15
   2   1     2.51456 0.000322 0
   2   4    -1.08684 0.000200 0
   5   1     2.34379 0.000260 0
   5   7    -0.08731 0.000340 0
   8   1    -3.18754 0.000381 0
   5  10     1.14766 0.000185 0
  11   6    -3.27744 0.000486 0
  14   7    -0.11776 0.000170 0
  14  15    -2.11194 0.000436 0
  14  17    -1.97330 0.000183 0
  20  18     0.44462 0.000193 0
  17  18     0.37691 0.000352 0
   2   3    -0.07104 0.000418 0
   2   8    -1.05993 0.000135 0
  14  20    -0.99019 0.000485 0
   0
