t_sec,kind,file,mode,style,factor,type,loc1,loc2,sigma,clean_value,bad_value,error,error_sigmas,pos
0.000,pmu,pmu/pmu_t00000_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.36402,-0.36402,-0.72804,-5314.160583941606,41
0.000,scada,scada/scada_t00000_00.dat,persistent,negate,-1.0,Qflow,1,2,0.018568,0.38753,-0.38753,-0.77506,-41.74170616113744,114
0.000,scada,scada/scada_t00000_00.dat,transient,scale,-15.813131866399683,Qflow,2,15,0.019722,0.46325,-7.325433337109653,-7.788683337109654,-394.9236049644891,127
1.000,pmu,pmu/pmu_t00001_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.36976,-0.36976,-0.73952,-5397.956204379562,41
1.000,pmu,pmu/pmu_t00001_00.dat,transient,scale,20.36721846438128,Iang,2,3,0.00024,-1.72255,-35.083552165819974,-33.361002165819976,-139004.17569091657,62
2.000,pmu,pmu/pmu_t00002_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.37426,-0.37426,-0.74852,-5463.649635036496,41
3.000,pmu,pmu/pmu_t00003_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.37951,-0.37951,-0.75902,-5540.29197080292,41
4.000,pmu,pmu/pmu_t00004_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.38624,-0.38624,-0.77248,-5638.540145985402,41
5.000,pmu,pmu/pmu_t00005_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.38986,-0.38986,-0.77972,-5691.386861313868,41
5.000,pmu,pmu/pmu_t00005_00.dat,transient,negate,-1.0,Imag,38,25,0.000466,0.75144,-0.75144,-1.50288,-3225.0643776824036,51
5.000,scada,scada/scada_t00005_00.dat,persistent,negate,-1.0,Qflow,1,2,0.018568,0.46009,-0.46009,-0.92018,-49.55730288668677,114
5.000,scada,scada/scada_t00005_00.dat,transient,scale,-16.36305248800185,Pflow,2,3,0.017809,0.01948,-0.318752262466276,-0.338232262466276,-18.992209695450395,63
6.000,pmu,pmu/pmu_t00006_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.3931,-0.3931,-0.7862,-5738.686131386861,41
6.000,pmu,pmu/pmu_t00006_00.dat,transient,scale,20.372030371927366,Iang,35,36,0.000378,-1.67277,-34.077721245248945,-32.404951245248945,-85727.38424669033,93
7.000,pmu,pmu/pmu_t00007_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.39891,-0.39891,-0.79782,-5823.503649635037,41
8.000,pmu,pmu/pmu_t00008_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.40302,-0.40302,-0.80604,-5883.503649635037,41
9.000,pmu,pmu/pmu_t00009_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.40486,-0.40486,-0.80972,-5910.36496350365,41
10.000,pmu,pmu/pmu_t00010_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.40798,-0.40798,-0.81596,-5955.912408759124,41
10.000,scada,scada/scada_t00010_00.dat,persistent,negate,-1.0,Qflow,1,2,0.018568,0.48481,-0.48481,-0.96962,-52.21994829814735,114
11.000,pmu,pmu/pmu_t00011_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.40889,-0.40889,-0.81778,-5969.19708029197,41
11.000,pmu,pmu/pmu_t00011_00.dat,transient,scale,17.659144190497543,Vmag,14,,0.000147,0.98893,17.463657464308735,16.474727464308735,112072.97594767847,4
12.000,pmu,pmu/pmu_t00012_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.40955,-0.40955,-0.8191,-5978.832116788321,41
12.000,pmu,pmu/pmu_t00012_00.dat,transient,negate,-1.0,Vang,14,,7.6e-05,-0.06705,0.06705,0.1341,1764.4736842105262,17
13.000,pmu,pmu/pmu_t00013_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.41104,-0.41104,-0.82208,-6000.58394160584,41
14.000,pmu,pmu/pmu_t00014_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.40862,-0.40862,-0.81724,-5965.255474452555,41
14.000,pmu,pmu/pmu_t00014_00.dat,transient,scale,24.140327467154655,Vmag,11,,0.000127,1.03692,25.031588357242008,23.99466835724201,188934.3965137166,3
15.000,pmu,pmu/pmu_t00015_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.40624,-0.40624,-0.81248,-5930.510948905109,41
15.000,scada,scada/scada_t00015_00.dat,persistent,negate,-1.0,Qflow,1,2,0.018568,0.49847,-0.49847,-0.99694,-53.691296854803966,114
16.000,pmu,pmu/pmu_t00016_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.40556,-0.40556,-0.81112,-5920.583941605839,41
17.000,pmu,pmu/pmu_t00017_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.40388,-0.40388,-0.80776,-5896.058394160585,41
18.000,pmu,pmu/pmu_t00018_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.4035,-0.4035,-0.807,-5890.51094890511,41
19.000,pmu,pmu/pmu_t00019_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.40089,-0.40089,-0.80178,-5852.408759124088,41
20.000,pmu,pmu/pmu_t00020_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.39717,-0.39717,-0.79434,-5798.102189781022,41
20.000,scada,scada/scada_t00020_00.dat,persistent,negate,-1.0,Qflow,1,2,0.018568,0.46985,-0.46985,-0.9397,-50.60857389056441,114
21.000,pmu,pmu/pmu_t00021_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.39728,-0.39728,-0.79456,-5799.708029197081,41
22.000,pmu,pmu/pmu_t00022_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.39414,-0.39414,-0.78828,-5753.868613138686,41
23.000,pmu,pmu/pmu_t00023_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.39142,-0.39142,-0.78284,-5714.160583941606,41
24.000,pmu,pmu/pmu_t00024_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.38588,-0.38588,-0.77176,-5633.284671532847,41
25.000,pmu,pmu/pmu_t00025_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.3815,-0.3815,-0.763,-5569.343065693431,41
25.000,pmu,pmu/pmu_t00025_00.dat,transient,scale,10.293618123796014,Iang,32,12,0.00011,2.45491,25.269906068288073,22.814996068288075,207409.05516625522,83
25.000,scada,scada/scada_t00025_00.dat,persistent,negate,-1.0,Qflow,1,2,0.018568,0.44411,-0.44411,-0.88822,-47.836062042223176,114
26.000,pmu,pmu/pmu_t00026_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.37793,-0.37793,-0.75586,-5517.226277372262,41
26.000,pmu,pmu/pmu_t00026_00.dat,transient,scale,24.551677744613233,Iang,2,1,0.000353,-3.2837,-80.62034420998647,-77.33664420998647,-219083.977931973,61
27.000,pmu,pmu/pmu_t00027_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.37224,-0.37224,-0.74448,-5434.160583941606,41
27.000,pmu,pmu/pmu_t00027_00.dat,transient,negate,-1.0,Imag,17,15,0.000328,1.93236,-1.93236,-3.86472,-11782.68292682927,59
28.000,pmu,pmu/pmu_t00028_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.36879,-0.36879,-0.73758,-5383.795620437956,41
29.000,pmu,pmu/pmu_t00029_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.36382,-0.36382,-0.72764,-5311.240875912408,41
30.000,pmu,pmu/pmu_t00030_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.35927,-0.35927,-0.71854,-5244.817518248175,41
30.000,pmu,pmu/pmu_t00030_00.dat,transient,negate,-1.0,Iang,14,7,0.00019,0.22848,-0.22848,-0.45696,-2405.052631578947,71
30.000,scada,scada/scada_t00030_00.dat,persistent,negate,-1.0,Qflow,1,2,0.018568,0.39883,-0.39883,-0.79766,-42.958853942266266,114
30.000,scada,scada/scada_t00030_00.dat,transient,negate,-1.0,Qinj,11,,0.021625,1.51952,-1.51952,-3.03904,-140.53364161849711,53
31.000,pmu,pmu/pmu_t00031_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.35399,-0.35399,-0.70798,-5167.737226277372,41
32.000,pmu,pmu/pmu_t00032_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.35262,-0.35262,-0.70524,-5147.737226277372,41
33.000,pmu,pmu/pmu_t00033_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.34816,-0.34816,-0.69632,-5082.6277372262775,41
33.000,pmu,pmu/pmu_t00033_00.dat,transient,negate,-1.0,Iang,2,21,0.000198,-2.6502,2.6502,5.3004,26769.69696969697,77
34.000,pmu,pmu/pmu_t00034_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.34296,-0.34296,-0.68592,-5006.715328467153,41
34.000,pmu,pmu/pmu_t00034_00.dat,transient,negate,-1.0,Imag,8,4,0.000343,0.16738,-0.16738,-0.33476,-975.9766763848397,32
35.000,pmu,pmu/pmu_t00035_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.33984,-0.33984,-0.67968,-4961.167883211679,41
35.000,pmu,pmu/pmu_t00035_00.dat,transient,scale,27.405815727362004,Iang,2,15,0.000195,-3.00531,-82.3629720635983,-79.35766206359831,-406962.36955691443,72
35.000,scada,scada/scada_t00035_00.dat,persistent,negate,-1.0,Qflow,1,2,0.018568,0.3583,-0.3583,-0.7166,-38.59327875915554,114
35.000,scada,scada/scada_t00035_00.dat,transient,scale,23.12958486600766,Vmag,20,,0.009165,1.01286,23.427031327384523,22.414171327384523,2445.62698607578,19
36.000,pmu,pmu/pmu_t00036_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.33413,-0.33413,-0.66826,-4877.810218978102,41
37.000,pmu,pmu/pmu_t00037_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.33092,-0.33092,-0.66184,-4830.948905109489,41
38.000,pmu,pmu/pmu_t00038_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.32495,-0.32495,-0.6499,-4743.795620437956,41
39.000,pmu,pmu/pmu_t00039_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.32098,-0.32098,-0.64196,-4685.839416058394,41
40.000,pmu,pmu/pmu_t00040_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.31926,-0.31926,-0.63852,-4660.729927007299,41
40.000,scada,scada/scada_t00040_00.dat,persistent,negate,-1.0,Qflow,1,2,0.018568,0.35677,-0.35677,-0.71354,-38.42847910383455,114
40.000,scada,scada/scada_t00040_00.dat,transient,scale,-15.680825444485544,Pflow,33,37,0.016199,0.14907,-2.33754064900946,-2.48661064900946,-153.5039600598469,97
41.000,pmu,pmu/pmu_t00041_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.3188,-0.3188,-0.6376,-4654.014598540146,41
41.000,pmu,pmu/pmu_t00041_00.dat,transient,negate,-1.0,Vang,17,,0.000108,-0.17879,0.17879,0.35758,3310.925925925926,18
42.000,pmu,pmu/pmu_t00042_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.31774,-0.31774,-0.63548,-4638.540145985402,41
42.000,pmu,pmu/pmu_t00042_00.dat,transient,negate,-1.0,Imag,17,15,0.000328,1.65984,-1.65984,-3.31968,-10120.975609756097,59
43.000,pmu,pmu/pmu_t00043_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.3166,-0.3166,-0.6332,-4621.8978102189785,41
44.000,pmu,pmu/pmu_t00044_00.dat,persistent,negate,-1.0,Imag,20,12,0.000137,0.31582,-0.31582,-0.63164,-4610.510948905109,41
