t_sec,lambda,pf_converged,pf_max_mismatch,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,Vang_rad1,Vang_rad2,Vang_rad3,Vang_rad4,Vang_rad5,Vang_rad6,Vang_rad7,Vang_rad8,Vang_rad9,Vang_rad10,Vang_rad11,Vang_rad12,Vang_rad13,Vang_rad14,Vang_rad15,Vang_rad16,Vang_rad17,Vang_rad18,Vang_rad19,Vang_rad20,Vang_rad21,Vang_rad22,Vang_rad23,Vang_rad24,Vang_rad25,Vang_rad26,Vang_rad27,Vang_rad28,Vang_rad29,Vang_rad30,Vang_rad31,Vang_rad32,Vang_rad33,Vang_rad34,Vang_rad35,Vang_rad36,Vang_rad37,Vang_rad38,Vang_rad39,Vang_rad40
0.000,1.00000,1,1.172e-10,1.060000,1.016604,0.997906,0.968276,1.004997,1.027000,1.029005,0.985371,0.981112,1.014549,1.037000,1.043000,0.965333,1.005563,1.022000,0.981361,1.017607,0.977551,1.039793,1.008104,1.030000,1.023173,0.965517,0.973941,0.990652,0.972716,1.033847,1.007854,0.997563,1.023000,1.035000,1.018528,1.027000,0.963781,1.052000,0.961382,1.038279,1.025000,1.004015,0.983968,0.000000,-0.162687,-0.163544,-0.060890,-0.183846,-0.139037,-0.178115,-0.054210,-0.009808,-0.075400,-0.009036,-0.090940,-0.014645,-0.054861,-0.066286,-0.002887,-0.208966,-0.002003,-0.192946,-0.135125,-0.096069,-0.096527,-0.097727,-0.082511,-0.119411,-0.018654,-0.104881,-0.202045,-0.181287,-0.016922,-0.071670,-0.194879,-0.132616,-0.089082,-0.078023,-0.075835,-0.154544,-0.009199,-0.050628,-0.056649
1.000,1.01453,1,3.873e-09,1.060000,1.016071,0.996167,0.967227,1.004127,1.027000,1.027758,0.984053,0.979791,1.013873,1.037000,1.043000,0.964144,1.003664,1.022000,0.980185,1.017154,0.976510,1.039253,1.007516,1.030000,1.022322,0.964014,0.972848,0.990065,0.971160,1.032973,1.007386,0.996395,1.023000,1.035000,1.017420,1.027000,0.962696,1.052000,0.958394,1.038977,1.025000,1.002508,0.981838,0.000000,-0.165667,-0.166701,-0.062429,-0.187412,-0.142221,-0.181732,-0.055488,-0.010387,-0.076938,-0.009666,-0.092270,-0.015345,-0.056326,-0.067967,-0.003695,-0.212732,-0.002344,-0.196948,-0.137121,-0.098416,-0.098686,-0.099688,-0.083708,-0.122122,-0.019937,-0.107361,-0.205916,-0.185292,-0.018659,-0.074096,-0.197803,-0.136070,-0.091303,-0.079931,-0.077603,-0.158301,-0.010018,-0.051792,-0.058179
2.000,1.02618,1,1.789e-09,1.060000,1.015640,0.994787,0.966369,1.003430,1.027000,1.026724,0.982991,0.978724,1.013333,1.037000,1.043000,0.963211,1.002090,1.022000,0.979230,1.016791,0.975672,1.038865,1.007047,1.030000,1.021646,0.962809,0.971963,0.989603,0.969944,1.032247,1.006993,0.995439,1.023000,1.035000,1.016490,1.027000,0.961821,1.052000,0.955928,1.039533,1.025000,1.001315,0.980083,0.000000,-0.168015,-0.169124,-0.063643,-0.190287,-0.144789,-0.184627,-0.056504,-0.010871,-0.078153,-0.010075,-0.093425,-0.015808,-0.057464,-0.069294,-0.004326,-0.215707,-0.002624,-0.200236,-0.138805,-0.100256,-0.100349,-0.101255,-0.084754,-0.124302,-0.021063,-0.109371,-0.209001,-0.188540,-0.020111,-0.076123,-0.200293,-0.138869,-0.093040,-0.081437,-0.078984,-0.161341,-0.010688,-0.052634,-0.059397
3.000,1.04078,1,4.635e-09,1.060000,1.015086,0.993036,0.965283,1.002527,1.027000,1.025374,0.981646,0.977351,1.012637,1.037000,1.043000,0.962006,1.000070,1.022000,0.978038,1.016320,0.974620,1.038339,1.006454,1.030000,1.020783,0.961249,0.970871,0.989024,0.968407,1.031329,1.006474,0.994230,1.023000,1.035000,1.015351,1.027000,0.960721,1.052000,0.952796,1.040243,1.025000,0.999797,0.977864,0.000000,-0.171037,-0.172249,-0.065184,-0.193943,-0.148064,-0.188268,-0.057778,-0.011415,-0.079705,-0.010658,-0.094801,-0.016461,-0.058911,-0.070992,-0.005151,-0.219496,-0.002984,-0.204400,-0.140852,-0.102646,-0.102511,-0.103236,-0.085997,-0.127076,-0.022559,-0.111883,-0.212869,-0.192624,-0.021927,-0.078762,-0.203300,-0.142405,-0.095302,-0.083337,-0.080725,-0.165185,-0.011548,-0.053762,-0.060924
4.000,1.05823,1,8.882e-15,1.060000,1.014411,0.990889,0.963946,1.001427,1.027000,1.023735,0.979999,0.975665,1.011787,1.037000,1.043000,0.960560,0.997618,1.022000,0.976589,1.015739,0.973325,1.037599,1.005740,1.030000,1.019728,0.959390,0.969582,0.988318,0.966424,1.030200,1.005837,0.992748,1.023000,1.035000,1.013959,1.027000,0.959393,1.052000,0.948991,1.041079,1.025000,0.997930,0.975168,0.000000,-0.174642,-0.176172,-0.067098,-0.198329,-0.152018,-0.192700,-0.059378,-0.012134,-0.081581,-0.011519,-0.096493,-0.017407,-0.060701,-0.073084,-0.006248,-0.224131,-0.003431,-0.209331,-0.143350,-0.105549,-0.105215,-0.105644,-0.087531,-0.130438,-0.024127,-0.115067,-0.217626,-0.197726,-0.024317,-0.081773,-0.206981,-0.146830,-0.098049,-0.085718,-0.082896,-0.169973,-0.012615,-0.055259,-0.062881
5.000,1.06755,1,9.277e-10,1.060000,1.014046,0.989746,0.963240,1.000825,1.027000,1.022818,0.979131,0.974774,1.011328,1.037000,1.043000,0.959784,0.996257,1.022000,0.975822,1.015423,0.972646,1.037177,1.005361,1.030000,1.019170,0.958381,0.968876,0.987942,0.965337,1.029573,1.005481,0.991954,1.023000,1.035000,1.013184,1.027000,0.958694,1.052000,0.946901,1.041521,1.025000,0.996939,0.973665,0.000000,-0.176588,-0.178300,-0.068061,-0.200645,-0.154110,-0.194998,-0.060198,-0.012539,-0.082595,-0.012000,-0.097448,-0.017933,-0.061543,-0.074184,-0.006745,-0.226612,-0.003661,-0.211934,-0.144733,-0.107128,-0.106708,-0.106911,-0.088400,-0.132213,-0.024917,-0.116564,-0.220097,-0.200229,-0.025362,-0.083350,-0.209041,-0.149019,-0.099547,-0.086900,-0.083957,-0.172353,-0.013164,-0.056122,-0.063734
6.000,1.07639,1,6.593e-10,1.060000,1.013696,0.988619,0.962560,1.000259,1.027000,1.021992,0.978299,0.973922,1.010886,1.037000,1.043000,0.959039,0.995027,1.022000,0.975075,1.015122,0.971999,1.036807,1.005000,1.030000,1.018599,0.957423,0.968219,0.987587,0.964337,1.028985,1.005166,0.991193,1.023000,1.035000,1.012491,1.027000,0.958002,1.052000,0.945009,1.041957,1.025000,0.995950,0.972271,0.000000,-0.178510,-0.180308,-0.069079,-0.202950,-0.156172,-0.197324,-0.061040,-0.012995,-0.083588,-0.012409,-0.098245,-0.018385,-0.062505,-0.075296,-0.007324,-0.228985,-0.003888,-0.214548,-0.145937,-0.108661,-0.108082,-0.108206,-0.089117,-0.133949,-0.025851,-0.118179,-0.222611,-0.202817,-0.026539,-0.085022,-0.210824,-0.151281,-0.101000,-0.088178,-0.085139,-0.174804,-0.013706,-0.056852,-0.064733
7.000,1.09188,1,6.706e-09,1.060000,1.013072,0.986662,0.961345,0.999246,1.027000,1.020489,0.976813,0.972382,1.010115,1.037000,1.043000,0.957748,0.992816,1.022000,0.973780,1.014591,0.970859,1.036100,1.004372,1.030000,1.017624,0.955711,0.967056,0.986949,0.962531,1.027956,1.004573,0.989848,1.023000,1.035000,1.011283,1.027000,0.956818,1.052000,0.941611,1.042710,1.025000,0.994239,0.969852,0.000000,-0.181770,-0.183882,-0.070864,-0.206926,-0.159791,-0.201323,-0.062519,-0.013670,-0.085304,-0.013250,-0.099669,-0.019301,-0.064142,-0.077205,-0.008413,-0.233106,-0.004318,-0.219032,-0.148068,-0.111324,-0.110550,-0.110364,-0.090399,-0.137032,-0.027349,-0.121141,-0.226899,-0.207517,-0.028841,-0.087833,-0.213964,-0.155383,-0.103524,-0.090375,-0.087136,-0.179233,-0.014720,-0.058223,-0.066575
8.000,1.10267,1,1.647e-09,1.060000,1.012633,0.985297,0.960492,0.998535,1.027000,1.019441,0.975769,0.971298,1.009574,1.037000,1.043000,0.956850,0.991274,1.022000,0.972851,1.014216,0.970072,1.035575,1.003935,1.030000,1.016945,0.954511,0.966229,0.986499,0.961237,1.027222,1.004154,0.988899,1.023000,1.035000,1.010409,1.027000,0.955992,1.052000,0.939235,1.043218,1.025000,0.993047,0.968128,0.000000,-0.184045,-0.186374,-0.072066,-0.209655,-0.162287,-0.204067,-0.063520,-0.014141,-0.086512,-0.013837,-0.100720,-0.019940,-0.065200,-0.078552,-0.009084,-0.235996,-0.004614,-0.222101,-0.149612,-0.113192,-0.112283,-0.111840,-0.091349,-0.139166,-0.028308,-0.123108,-0.229904,-0.210703,-0.030362,-0.089726,-0.216253,-0.158160,-0.105296,-0.091875,-0.088491,-0.182230,-0.015420,-0.059186,-0.067751
9.000,1.10735,1,6.313e-11,1.060000,1.012441,0.984710,0.960102,0.998234,1.027000,1.018972,0.975296,0.970811,1.009339,1.037000,1.043000,0.956468,0.990575,1.022000,0.972451,1.014051,0.969737,1.035447,1.003753,1.030000,1.016643,0.953994,0.965858,0.986309,0.960768,1.026885,1.003966,0.988478,1.023000,1.035000,1.010009,1.027000,0.955638,1.052000,0.938182,1.043424,1.025000,0.992533,0.967349,0.000000,-0.185048,-0.187304,-0.072587,-0.210941,-0.163436,-0.205367,-0.063985,-0.014359,-0.087060,-0.013906,-0.101191,-0.020032,-0.065753,-0.079139,-0.009430,-0.237271,-0.004747,-0.223638,-0.150289,-0.113968,-0.112927,-0.112550,-0.091775,-0.140129,-0.029009,-0.123983,-0.231239,-0.212104,-0.031012,-0.090792,-0.217291,-0.159394,-0.106030,-0.092571,-0.089134,-0.183553,-0.015731,-0.059454,-0.068302
