name,n_buses,n_branches,n_states,rank,observable,sc2_iters,sc2_J,sc2_rmse_V,sc2_rmse_th,bd_detected,bd_correct,sc3_rmse_V
case_3BUS_A2_Z_scale,3,3,5,5,YES,5,7.88,0.0006492981409893247,0.02926179046092288,YES,NO,0.0062846318996858
case_3BUS_A2_Z_swap,3,3,5,5,YES,3,8.67,0.0001926791386775068,0.016367450322068287,YES,YES,0.00015726752575983234
case_3BUS_B3_missing,3,2,5,5,YES,5,7.44,0.0007344144177797517,0.031150674366581074,YES,NO,0.006698983071003419
case_3BUS_B4_parallel,3,4,5,5,YES,2,9.08,0.00022622607543302568,0.00020220334235189277,YES,YES,0.00028387499181138415
case_3BUS_C1_type_flip,3,3,5,5,YES,2,8.72,0.00023652645079467818,0.019245767616208664,YES,YES,0.00015190499586402995
case_3BUS_C2_voltage,3,3,5,5,YES,2,9.09,0.00020140107274875136,0.0006652757638696973,YES,YES,0.00025310935838929297
case_3BUS_C3_load_units,3,3,5,5,YES,2,9.07,0.00022620947397797105,0.0007810354563811476,YES,YES,0.0002804067105678145
case_3BUS_C3_loadgen_swap,3,3,5,5,YES,2,9.07,0.00022620947397797105,0.0007810354563811476,YES,YES,0.0002804067105678145
case_3BUS_C4_shunt,3,3,5,5,YES,2,9.07,0.00022620947397797105,0.0007810354563811476,YES,YES,0.0002804067105678145
case_3BUS_C5_dup_busnum,,,,,,,,,,,,
case_5BUS_A1_tap_gross,5,6,9,9,YES,2,12.15,0.00021591617279900424,0.012103815726941797,YES,YES,0.00022851327042111713
case_5BUS_A1_tap_subtle,5,6,9,9,YES,2,11.99,0.00021509448832540294,0.012318729623627721,YES,YES,0.00022925034083793526
case_5BUS_A2_Z_scale,5,6,9,9,YES,2,15.48,0.00037982044148310393,0.004323476794334548,YES,YES,0.000370897791832666
case_5BUS_A2_Z_swap,5,6,9,9,YES,2,12.38,0.0001584837003590521,0.012989786169346212,YES,YES,0.0001732062831618361
case_5BUS_B1_endpoint,5,6,9,9,YES,2,12.81,0.00016081723522884137,0.014132987908513557,YES,YES,0.00016378018221445244
case_5BUS_B2_orient_xfmr,5,6,9,9,YES,2,11.89,0.00019003437398171986,0.012947324759215692,YES,YES,0.0001981067857903304
case_5BUS_B3_missing,5,5,9,9,YES,2,17.88,0.0004639692048620533,0.019685612780825,YES,YES,0.0005888207593614307
case_5BUS_B4_parallel,5,7,9,9,YES,2,18.8,0.00022950372511549918,0.018503328768095968,YES,YES,0.00024466067256335815
case_5BUS_C1_type_flip,5,6,9,9,YES,2,17.86,0.00013201192781126623,0.022220010456619737,YES,YES,0.00015437587067828332
case_5BUS_C2_voltage,5,6,9,9,YES,2,12.13,0.00021900224840044647,0.009505504749408457,YES,YES,0.0002268012424369774
case_5BUS_C3_load_units,5,6,9,9,YES,2,11.97,0.00021469843622831696,0.012377505196581116,YES,YES,0.00022892688290206532
case_5BUS_C3_loadgen_swap,5,6,9,9,YES,2,11.97,0.00021469843622831696,0.012377505196581116,YES,YES,0.00022892688290206532
case_5BUS_C4_shunt,5,6,9,9,YES,2,11.97,0.00021469843622831696,0.012377505196581116,YES,YES,0.00022892688290206532
case_5BUS_C5_dup_busnum,,,,,,,,,,,,
case_IEEE14_A1_tap_gross,14,17,27,27,YES,3,44.36,0.0008264653208443828,0.02636697870223092,YES,YES,0.0008242652165094661
case_IEEE14_A1_tap_subtle,14,17,27,27,YES,3,44.25,0.0008665585258098254,0.027482129244176267,YES,YES,0.0008636577661631761
case_IEEE14_A2_Z_scale,14,17,27,27,YES,3,42.65,0.0009311752718910817,0.03120764603461842,YES,YES,0.0009299084175154106
case_IEEE14_A2_Z_swap,14,17,27,27,YES,3,42.29,0.0008879503737773214,0.03431688360034531,YES,YES,0.0008818666769776495
case_IEEE14_B1_endpoint,14,17,27,27,YES,11,46.03,0.0004921927785773595,0.079864392537474,YES,YES,0.00047328486492999213
case_IEEE14_B2_orient_xfmr,14,17,27,27,YES,3,45.06,0.0007967622533211615,0.028145970061120764,YES,YES,0.0007919632926155205
case_IEEE14_B3_missing,14,16,27,27,YES,2,48.86,0.0004458869539826211,0.028511142774058935,YES,YES,0.00044472743962960265
case_IEEE14_B4_parallel,14,18,27,27,YES,3,48.81,0.000860195106052355,0.027188305446088926,YES,YES,0.0008552706771336061
case_IEEE14_C1_type_flip,14,17,27,27,YES,2,45.62,0.000583808690066809,0.034816322933698254,YES,YES,0.0005801094695812261
case_IEEE14_C2_voltage,14,17,27,27,YES,3,44.33,0.0008131630340490113,0.025093992298793805,YES,YES,0.0008088762591879923
case_IEEE14_C3_load_units,14,17,27,27,YES,3,44.24,0.0008682190008227964,0.0275165142068464,YES,YES,0.0008653408126600484
case_IEEE14_C3_loadgen_swap,14,17,27,27,YES,3,44.24,0.0008682190008227964,0.0275165142068464,YES,YES,0.0008653408126600484
case_IEEE14_C4_shunt,14,17,27,27,YES,3,44.24,0.0008682243776109863,0.027516980152060572,YES,YES,0.0008653457756379721
case_IEEE14_C5_dup_busnum,,,,,,,,,,,,
case_RAND10_A1_tap_gross,10,12,19,19,YES,2,19.36,0.001259729552115759,0.033162249667568644,YES,NO,0.0012342003034323007
case_RAND10_A1_tap_subtle,10,12,19,19,YES,2,18.44,0.0013372479860878736,0.0333660763018331,YES,NO,0.0013532854128675907
case_RAND10_A2_Z_scale,10,12,19,19,YES,2,18.49,0.0013439307719388424,0.03343065392050662,YES,NO,0.0013633668660159826
case_RAND10_A2_Z_swap,10,12,19,19,YES,2,18.55,0.0013439356658913213,0.03335151880551795,YES,NO,0.001363380418759608
case_RAND10_B1_endpoint,10,12,19,19,YES,2,21.46,0.0015450984057495344,0.024237786977480073,YES,YES,0.0015974822819240925
case_RAND10_B2_orient_xfmr,10,12,19,19,YES,2,29.87,0.0011760793338601802,0.031062754915586438,YES,NO,0.0010450688631219707
case_RAND10_B3_missing,10,11,19,19,YES,2,18.28,0.0006538775596146495,0.06551666933519716,YES,NO,0.0008572637942724269
case_RAND10_B4_parallel,10,13,19,19,YES,2,18.76,0.0012456754487864565,0.043646341777712254,YES,NO,0.0012805972239340543
case_RAND10_C2_voltage,10,12,19,19,YES,2,18.2,0.0013459182181136805,0.033422865167024966,YES,NO,0.0013652902203965362
case_RAND10_C3_load_units,10,12,19,19,YES,2,18.4,0.0013447746349180383,0.03339623676585684,YES,NO,0.0013637009184900423
case_RAND10_C3_loadgen_swap,10,12,19,19,YES,2,18.4,0.0013447746349180383,0.03339623676585684,YES,NO,0.0013637009184900423
case_RAND10_C4_shunt,10,12,19,19,YES,2,18.4,0.0013447746349180383,0.03339623676585684,YES,NO,0.0013637009184900423
case_RAND10_C5_dup_busnum,,,,,,,,,,,,
case_RAND20_A1_tap_gross,20,25,39,39,YES,2,75.43,0.000665556491707452,0.03882612614604675,YES,NO,0.0015068191588525361
case_RAND20_A1_tap_subtle,20,25,39,39,YES,2,74.87,0.0006734155992539583,0.038722101752331164,YES,NO,0.0017487454437802369
case_RAND20_A2_Z_scale,20,25,39,39,YES,2,74.51,0.0005921232847286941,0.038524788486511696,YES,NO,0.0020593686147255667
case_RAND20_A2_Z_swap,20,25,39,39,YES,2,74.21,0.000703336555641715,0.03832769778074595,YES,NO,0.0017269306716927917
case_RAND20_B1_endpoint,20,25,39,39,YES,2,74.28,0.0006587216335851643,0.038978946890818586,YES,NO,0.0017638171983319457
case_RAND20_B2_orient_xfmr,20,25,39,39,YES,2,78.66,0.0006797166822252805,0.03980798585257378,YES,NO,0.0017224225176527372
case_RAND20_B3_missing,20,24,39,39,YES,2,75.96,0.0004254634381868292,0.0441659307429091,YES,NO,0.001526631417922305
case_RAND20_B4_parallel,20,26,39,39,YES,2,75.09,0.0006771906902601058,0.03874818247582385,YES,NO,0.0017703615015012468
case_RAND20_C1_type_flip,20,25,39,39,YES,2,79.1,0.0006261235891165302,0.02148029916742924,YES,NO,0.0014858173729525223
case_RAND20_C2_voltage,20,25,39,39,YES,2,74.32,0.0006727533405195495,0.037903816170965145,YES,NO,0.0015698425976242382
case_RAND20_C3_load_units,20,25,39,39,YES,2,74.82,0.0006741568874792958,0.03871269247806662,YES,NO,0.0017690970340324033
case_RAND20_C3_loadgen_swap,20,25,39,39,YES,2,74.82,0.0006741568874792958,0.03871269247806662,YES,NO,0.0017690970340324033
case_RAND20_C4_shunt,20,25,39,39,YES,2,74.82,0.0006741568874792958,0.03871269247806662,YES,NO,0.0017690970340324033
case_RAND20_C5_dup_busnum,,,,,,,,,,,,
case_RAND40_A1_tap_gross,40,52,79,79,YES,3,118.58,0.0007222727019973831,0.03870286906713577,YES,YES,0.0007230251619821776
case_RAND40_A1_tap_subtle,40,52,79,79,YES,3,119.43,0.0007207216936095095,0.038709182670157445,YES,YES,0.0007213938119860553
case_RAND40_A2_Z_scale,40,52,79,79,YES,3,121.1,0.0007220837417054806,0.038594266037109325,YES,YES,0.0007227324698858009
case_RAND40_A2_Z_swap,40,52,79,79,YES,9,109.08,0.0007945926953231495,0.04993591636480726,YES,YES,0.0007955674978516013
case_RAND40_B1_endpoint,40,52,79,79,YES,3,121.22,0.0006866518949998893,0.038350269620129586,YES,YES,0.0006908291079166789
case_RAND40_B2_orient_xfmr,40,52,79,79,YES,3,123.6,0.0007087139607614366,0.03881208484841013,YES,YES,0.0007094901508922439
case_RAND40_B3_missing,40,51,79,79,YES,2,125.82,0.0007849526753853022,0.03543070423636617,YES,YES,0.0007852130843119501
case_RAND40_B4_parallel,40,53,79,79,YES,3,121.26,0.0007230794403850835,0.03731139401385904,YES,YES,0.0007237794021387785
case_RAND40_C1_type_flip,40,52,79,79,YES,2,138.24,0.0007328010536473054,0.04277785070249803,YES,YES,0.0007329330036208582
case_RAND40_C2_voltage,40,52,79,79,YES,3,119.51,0.000717425288870233,0.03666300748449153,YES,YES,0.0007180250603822082
case_RAND40_C3_load_units,40,52,79,79,YES,3,119.36,0.0007227172052532062,0.03871568601286953,YES,YES,0.0007234173067397322
case_RAND40_C3_loadgen_swap,40,52,79,79,YES,3,119.36,0.0007227172052532062,0.03871568601286953,YES,YES,0.0007234173067397322
case_RAND40_C4_shunt,40,52,79,79,YES,3,119.36,0.0007227172052532062,0.03871568601286953,YES,YES,0.0007234173067397322
case_RAND40_C5_dup_busnum,,,,,,,,,,,,
case_RAND4_A2_Z_scale,4,4,7,7,YES,2,6.21,0.0010128901243111447,0.04602632596760763,YES,NO,0.004523764566270308
case_RAND4_A2_Z_swap,4,4,7,7,YES,2,7.97,0.0007691076037284551,0.005113546787548436,YES,YES,0.00046056821286565215
case_RAND4_B1_endpoint,4,4,7,7,YES,2,7.62,0.0008962542839437541,0.02760460731758336,YES,NO,0.004558403627971633
case_RAND4_B3_missing,4,3,7,7,YES,2,5.89,0.0010240747224811802,0.04515873744314825,YES,NO,0.004574877416146896
case_RAND4_B4_parallel,4,5,7,7,YES,2,9.84,0.00046158912783798406,0.03608973565495137,YES,NO,0.0015112257939503822
case_RAND4_C2_voltage,4,4,7,7,YES,2,6.93,0.0006078735833919883,0.0380756460172871,YES,NO,0.0028043060886055906
case_RAND4_C3_load_units,4,4,7,7,YES,2,7.02,0.0006155482889563179,0.04317660958949042,YES,NO,0.00307541410040236
case_RAND4_C3_loadgen_swap,4,4,7,7,YES,2,7.02,0.0006155482889563179,0.04317660958949042,YES,NO,0.00307541410040236
case_RAND4_C4_shunt,4,4,7,7,YES,2,7.02,0.0006155482889563179,0.04317660958949042,YES,NO,0.00307541410040236
case_RAND4_C5_dup_busnum,,,,,,,,,,,,
case_RAND7_A1_tap_gross,7,8,13,13,YES,3,20.63,0.0005305361388178018,0.03492696429171424,YES,YES,0.00046966894168076355
case_RAND7_A1_tap_subtle,7,8,13,13,YES,3,20.1,0.0005918980856464467,0.04354314842589214,YES,YES,0.00053310089498226
case_RAND7_A2_Z_scale,7,8,13,13,YES,3,21.03,0.0005476040003597638,0.04404283738390341,YES,YES,0.0004839474028044076
case_RAND7_A2_Z_swap,7,8,13,13,YES,2,20.93,0.0006374923529881999,0.04226092088114363,YES,YES,0.0005544014692509153
case_RAND7_B1_endpoint,7,8,13,13,YES,2,21.06,0.000295096592327881,0.04270327932119023,YES,YES,0.0002772276190368393
case_RAND7_B2_orient_xfmr,7,8,13,13,YES,3,19.39,0.0006112422807183357,0.04423413048367352,YES,YES,0.0005136712197502561
case_RAND7_B3_missing,7,7,13,13,YES,4,14.21,0.0004699886513061851,0.02956361038655512,YES,YES,0.00044924710171480336
case_RAND7_B4_parallel,7,9,13,13,YES,3,20.64,0.0006509657380642314,0.04655338441232672,YES,YES,0.0006017455500384204
case_RAND7_C1_type_flip,7,8,13,13,YES,2,22.42,0.00042404011417436976,0.024630938974492075,YES,NO,0.0021516805404260654
case_RAND7_C2_voltage,7,8,13,13,YES,2,20.38,0.0006380222751237928,0.042589626807624036,YES,YES,0.0005550557019723378
case_RAND7_C3_load_units,7,8,13,13,YES,3,20.09,0.0005919093630803452,0.04357456071543227,YES,YES,0.0005331086869761506
case_RAND7_C3_loadgen_swap,7,8,13,13,YES,3,20.09,0.0005919093630803452,0.04357456071543227,YES,YES,0.0005331086869761506
case_RAND7_C4_shunt,7,8,13,13,YES,3,20.09,0.0005919093630803452,0.04357456071543227,YES,YES,0.0005331086869761506
